Adok,"Adok adalah ritus dalam budaya Lampung yang melibatkan pemberian gelar atau julukan kepada individu setelah mereka mencapai tahap remaja atau setelah mereka menikah. Praktik ini berakar dalam sejarah etnisitas Ulun Lampung dan tercermin dalam sastra lisan Lampung, seperti Wakhahan dan Segata. Ritus Adok merupakan identitas dan ciri khas orang Lampung yang berfungsi sebagai sebuah bentuk penghormatan dan pengakuan terhadap individu yang dianggap pantas atau sudah berjasa kepada masyarakat. Ritus Adok berperan dalam memperkuat rasa kepribadian seseorang sesuai dengan gelar adat yang mereka sandang. Proses pemberian gelar atau adok biasanya melibatkan ritus adat yang menggunakan berbagai alat dan bahan seperti tanduk kerbau, bambu, dalung/kuningan, tongkat, dan kulit kayu digunakan untuk meresmikan riwayat, silsilah, hikayat, dan kodifikasi hukum adat. Ritus Adok juga melibatkan aspek demografi dan gender, di mana gelar atau panggilan tersebut berbeda antara pria dan wanita. Selain itu, adat Lampung mengenal berbagai gelar atau panggilan berdasarkan hirarki status pribadi dalam struktur kepemimpinan adat, seperti Suttan, Pengiran, Dalom, Batin, Temunggung, Radin, Minak, Kimas, dan sebagainya.","Adat Istiadat Masyarakat, Ritus, dan Perayaan-Perayaan"
Badik Lampung,"Badik Lampung adalah salah satu senjata tradisional dari masyarakat Lampung. Senjata ini memiliki bentuk yang mirip dengan pisau, namun gagangnya membengkok seperti gagang golok, sementara mata pisau membengkok di bagian ujung. Asal usul badik Lampung miriip dengan badik Bugis dan umumnya dilengkapi dengan sarung kayu. Badik Lampung menjadi bagian dari identitas dan warisan budaya masyarakat Lampung. Senjata ini berguna sebagai alat pertahanan diri dan dalam kegiatan praktis sehari-hari. Badik Lampung juga memiliki nilai estetika dan keindahan sebagai senjata tradisional. Bahan utama pembuatan badik Lampung adalah logam untuk mata pisau dan kayu untuk gagang dan sarungnya. Proses pembuatannya melibatkan keterampilan khusus dalam pembentukan mata pisau yang melengkung dan pemilihan kayu yang sesuai untuk gagang dan sarung. Badik Lampung dapat dikategorikan menjadi dua jenis, yaitu badik kecil dan siwokh. Badik kecil memiliki ukuran mata pisau tidak lebih dari 11 cm panjangnya dan lebar mata pisau sekitar 2 cm. Sedangkan badik besar atau panjang memiliki ukuran mata pisau yang dapat mencapai lebih dari 19 cm panjangnya dan lebar mata pisau lebih dari 2 cm.",Pengetahuan dan Kebiasaan Perilaku Mengenai Alam dan Semesta
Blangiran,"Belangiran adalah ritus tahunan menyambut bulan suci Ramadan di daerah Lampung. Ritus ini bertujuan untuuk menyucikan hati dan tubuh sebagai bekal memasuki bulan Ramadan. Ritus ini merupakan tradisi yang dianggap penting dalam agama Islam untuk membersihkan diri dari segala dosa dan menghadapi bulan Ramadhan dengan hati yang suci. Nama ""Belangiran"" sendiri berasal dari kata ""langir"" yang berarti mandi, tetapi mandi yang dimaksud di sini bukan mandi biasa, melainkan mandi suci atau mandi tobat. Ritus Belangiran adalah ritus untuk menyucikan jiwa dan ragamulai sebelum memasuki bulan Ramadhan. Ritus ini diharapkan dapat membantu umat Muslim menjalankan ibadah dengan lancar, khusyuk, dan tanpa halangan. Belangiran menjadi waktu yang tepat bagi umat Muslim untuk merenungkan perbuatan dan dosa-dosa mereka serta bermaksud untuk bertobat dan memperbaiki diri. Ritus ini memperkuat rasa kesucian, kebersihan, dan kesadaran akan nilai-nilai spiritual dalam kehidupan sehari-hari. Prosesi ritus Belangiran menggunakan air langir, yaitu air yang diambil dari tujuh sungai berbeda yang berada di sekitar tempat pelaksanaan ritus. Air ini dikumpulkan dan disiapkan oleh para mekhanai. Air langir ini kemudian dicampur dengan bunga tujuh rupa, daun pandan, dan sedikit setanggi. Air langir ini kemudian digunakan dalam ritus Belangiran untuk mandi suci dimana setiap keluarga yang ikut serta dalam ritus tersebut diberikan satu gayung air langir.","Adat Istiadat Masyarakat, Ritus, dan Perayaan-Perayaan"
Cakak Pepadun,Cakak Pepadun adalah Adat Istiadat yang menjadi bagian prosesi pengukuhan gelar adat (Pepadun Pubian) di daerah Lampung. Acara ini merupakan bagian dari rangkaian perayaan yang dilakukan oleh seorang anak Suntan atau Paksi setelah menikah dimana mereka akan mewarisi tahta dan jabatan tertentu setelah orang tuanya. Prosesi Cakak Pepadun merupakan bagian penting dalam ritus adat untuk memperkuat posisi dan legitimasi anak Suntan atau Paksi sebagai penerus tahta dan gelar Adok yang diwariskan sesuai dengan ketentuan adat. Prosesi ini juga memiliki tema penting yaitu penerimaan gelar Adok yang diwariskan oleh orang tua dimana sang anak akan bertanggung jawab atas peran dan tugas yang akan diemban sebagai penerus tahta dan kepemimpinan. Tradisi Cakak Pepadun melibatkan laki-laki sebagai anak Suntan atau Paksi yang akan menerima gelar Adok.,"Adat Istiadat Masyarakat, Ritus, dan Perayaan-Perayaan"
Muwaghei,"Muakhi atau Muwaghei adalah sebuah tradisi atau sistem persaudaraan dalam budaya masyarakat di Lampung. Tradisi Muakhi mengandung makna persaudaraan dalam hubungan bertetangga dan sistem persaudaraan antar marga. Dalam budaya Lampung, Muakhi juga memiliki keterkaitan dengan forum persaudaraan sekandung yang membahas masalah keluarga, terutama dalam rangka perencanaan upacara perkawinan. Muwaghei berfungsi dalam menguatkan ikatan persaudaraan antaranggota keluarga, baik secara langsung maupun melalui forum persaudaraan sekandung yang membahas berbagai hal terkait keluarga dan upacara perkawinan. Selain itu, Muakhi juga memiliki aspek persaudaraan dalam hubungan bertetangga, yang mencerminkan solidaritas dan saling bantu antarwarga masyarakat. Muakhi tidak melibatkan alat dan bahan khusus, namun lebih merupakan tradisi persaudaraan yang dijalankan melalui tindakan, sikap, dan komunikasi antaranggota keluarga dan masyarakat Lampung. Proses dari Muakhi melibatkan musyawarah dan mufakat antarwarga masyarakat untuk memahami dan mematuhi nilai dan norma yang terkandung dalam tradisi ini.","Adat Istiadat Masyarakat, Ritus, dan Perayaan-Perayaan"
Ngejalang,"Ngejalang adalah sebuah tradisi acara silaturahmi dan berdoa bersama yang dilakukan oleh masyarakat di Lampung setelah perayaan Idul Fitri (Syawal). Upacara ini bertujuan untuk mengirim doa kepada sanak saudara atau keluarga yang telah meninggal dunia, serta untuk melakukan halal bihalal dan saling mendoakan antara keluarga yang masih hidup. Ngejalang berfungsi sebagai wadah untuk memperkuat solidaritas dan kebersamaan dalam masyarakat, karena melibatkan partisipasi aktif dari ahli kubur atau keluarga yang ditinggalkan dalam musyawarah menentukan tanggal dan pelaksanaan acara. Tradisi Ngejalang ini dapat dilakukan pada berbagai waktu, ada yang melakukan setelah H+1 lebaran, ada pula yang dilaksanakan pada hari ke 1-3 Syawal. Pelaksanaannya juga bervariasi tergantung pada kebiasaan dan musyawarah antara ahli kubur atau keluarga yang ditinggalkan, yang menentukan hari baik untuk Ngejalang Pangan maupun Ngejalang Kubokh. Tempat pelaksanaan acara ini biasanya dilakukan di kuburan, dan makan-makan akan disajikan di atas kuburan. Dalam pelaksanaan Ngejalang Kubokh, beberapa alat dan bahan yang diperlukan adalah kasur yang digelar untuk tempat duduk, Pahar (nampan dari aluminium) sebagai tempat untuk menyajikan kue atau snack, serta perlengkapan lain yang dibawa oleh ahli waris atau keluarga yang hadir di pemakaman.",Tradisi dan Ekspresi Lisan
Ngunduh Damakh,"Ngunduh Damakh atau Ngundur Damar adalah sebuah Pengetahuan Tradisional yang berkembang di masyarakat Kecamatan Way Krui, Kabupaten Pesisir Barat, Lampung. Pengetahuan Tradisional ini meliputi cara memanen getah damar agar mendapatkan kualitas baik. Ngunduh Damakh berfungsi sebagai salah satu sumber ekonomi masyarakat Kabupaten Pesisir Barat sebab pekerja pemanennya mendapatkan upah berupa bagian dari hasil damar atau pembayaran dengan uang. Perbandingan pembagian hasil damar untuk pemilik dan pekerja biasanya berbanding 1:3 atau 1:4. Damar Mata Kucing, salah satu jenis damar yang cukup terkenal, tumbuh subur dan produktif di repong-repong (perkebunan) di Kecamatan Way Krui. Pelaksanaan pemanenan damar dilakukan oleh petani pemilik kebun bersama keluarganya, namun jika diperlukan, tenaga kerja dari warga setempat dapat ikut membantu. Pohon damar yang menjadi sumber getah umumnya berusia sekitar 50 tahun, dan tinggi pohonnya harus mencapai ukuran tertentu agar bisa dipanen.",Pengetahuan dan kebiasaan perilaku mengenai alam dan semesta
Pengangkonan Anak,"Pengangkonan Anak adalah sistem perkawinan yang pernah dikenal dalam masyarakat Lampung Pepadun. Dahulu, masyarakat Lampung Pepadun menganut sistem perkawinan endogami, di mana perkawinan hanya dapat terjadi antara sesama orang Lampung. Sekarang, masyarakat Lampung Pepadun diperbolehkan untuk menikah dengan orang dari suku lain dengan syarat melakukan pengangkonan terlebih dahulu. Tujuan dari pengangkonan adalah untuk mendapatkan pengakuan secara sah dari masyarakat adat Lampung dan memungkinkan perkawinan antar-suku. Pengangkonan Anak berfungsi sebagai perkawinan antar-suku dan memfasilitasi integrasi sosial antara kelompok etnis berbeda. Proses pengangkonan anak diawali dengan upacara lamaran atau pineng, di mana calon pengantin pria memberikan sejumlah uang kepada pihak calon pengantin wanita. Kemudian, dilanjutkan dengan upacara penjemputan mempelai, di mana pengantin wanita dibawa ke kediaman calon pengantin pria untuk melangsungkan pernikahan. Selanjutnya, terdapat upacara cuak mengan, yang merupakan pemberitahuan kepada seluruh kerabat dan masyarakat tentang pernikahan yang akan dilakukan. Pelaksanaan upacara perkawinan dan upacara manjau pedem sebagai akhir dari acara perkawinan yang telah dilakukan.","Adat Istiadat Masyarakat, Ritus, dan Perayaan-Perayaan"
Piil Pesinggiri,"Piil Pesenggiri adalah pandangan hidup atau pedoman hidup yang dipegang oleh masyarakat suku Lampung. Nilai-nilai Piil Pesenggiri dianggap sebagai undang-undang yang diinternalisasi oleh masyarakat Lampung dan merupakan modal budaya dan simbolik dalam ranah kontestasi dengan pendatang. Piil Pesenggiri berfungsi sebagai bentuk sikap dan perilaku masyarakat Lampung yang memiliki kehormatan dan harga diri (honour) yang tinggi. Proses redefinisi Piil Pesenggiri, masyarakat Lampung mengolah kembali nilai-nilai tersebut agar tetap relevan dengan kondisi saat ini. Proses redefinisi ini melibatkan habitus ulun Lampung yang merupakan karakteristik dan kebiasaan mereka sebagai masyarakat suku Lampung. Strategi ulun Lampung dalam menggunakan nilai Piil Pesenggiri sebagai resistensi halus dapat dijadikan contoh dalam mengatasi konflik dan memelihara kerukunan dalam hubungan antar-etnis di Indonesia.",Pengetahuan dan Kebiasaan Perilaku Mengenai Alam dan Semesta
Pincak Khakot,"Pincak Khakot adalah olahraga seni bela diri yang berasal dari Lampung. Tradisi ini terinspirasi dari burung elang yang terbang di langit dan dipadukan dengan kekuatan pedang. Pincak Khakot diiringi oleh para pendekar silat yang memiliki kekuatan tenaga dalam, dan tradisi ini digunakan untuk menyambut pasangan pengantin, tamu kehormatan, dan acara lainnya. Pincak Khakot merupakan turun temurun dari Lamban Balak Kuripan, yang merupakan rangkuman langkah dasar dari pencak silat pada umumnya. Pincak Khakot berfungsi sebagai seni bela diri, serta bentuk upacara adat dan bagian dari tata cara kehidupan suku Lampung. Proses mempelajari Pincak Khakot dilakukan pada malam hari selama tujuh malam berturut-turut, dengan fokus pada kecepatan, ketepatan, kekuatan, dan keseimbangan. Dalam Pincak Khakot, pengolahan tenaga dalam menjadi bagian penting yang dilakukan oleh para pendekar silat. Sebelum tenaga dalam datang, biasanya diiringi oleh angin ribut selama 5-10 menit.",Tradisi dan Ekspresi Lisan
Siger Lampung,"Siger, mahkota khas pengantin wanita Lampung, adalah simbol yang mengandung sejarah dan makna mendalam bagi budaya daerah tersebut. Berbentuk segitiga dengan warna emas, siger biasanya terbuat dari tembaga, kuningan, atau logam lain yang dicat dengan warna emas. Awalnya dibuat dari emas asli, siger pada masa lampau dipakai sebagai mahkota pengantin serta perhiasan sehari-hari wanita Lampung. Saat ini, siger tidak hanya digunakan dalam acara adat Lampung tetapi juga menjadi ikon provinsi tersebut, terlihat dari berbagai monumen dan bangunan yang menghiasinya. Secara struktural, siger memiliki tujuh lekukan yang melambangkan tradisi Juluk Adok, bagian dari lima falsafah hidup Ulun Lampung. Setiap lekukan mewakili posisi, peran, dan tanggung jawab dari gelar yang disandang oleh seseorang. Fungsi sosial siger sangatlah mendalam dalam budaya Lampung. Siger bukan hanya sekadar mahkota pengantin, melainkan juga menjadi simbol kebanggaan dan identitas daerah, bahkan digunakan sebagai hiasan pada monumen dan bangunan pemerintahan serta perusahaan. Atribut siger tidak hanya sekadar perhiasan, melainkan juga merupakan representasi dari struktur sosial masyarakat adat Lampung. Melalui jumlah lekukan dan makna tiap lekukan, siger mencerminkan struktur hierarki dalam adat Lampung, baik dari sisi pemimpin adat, kedudukan di dalam suku, hingga khekhayahan atau kebudayaan. Berdasarkan komposisi lekukannya, siger menjadi representasi dari struktur sosial dan peran dalam masyarakat Lampung. Melalui siger, tergambar pembagian peran dan tanggung jawab yang dipegang oleh pemimpin adat, individu dalam suku, dan masyarakat umum. Secara simbolis, siger tidak hanya menjadi mahkota pengantin, melainkan juga mewakili kompleksitas dan kedalaman nilai-nilai budaya serta struktur sosial dalam masyarakat Lampung.","Adat Istiadat Masyarakat, Ritus, dan Perayaan-Perayaan"
