Aruh Baharin,"Aruh Baharin adalah sebuah ritus yang dilakukan oleh masyarakat Dayak Halong di Desa Kapul, Kecamatan Halong, Kabupaten Balangan, Provinsi Kalimantan Selatan. Sebelum pelaksanaan ritus, masyarakat Dayak Halong mematuhi pantangan untuk tidak memakan beras hasil panen hingga Aruh Baharin dilaksanakan. ritus ini berlangsung selama tujuh hari tujuh malam di balai adat dengan melibatkan berbagai prosesi dan ritus. Ritus Aruh Baharin adalah sebagai bentuk penghormatan dan ungkapan rasa syukur kepada Yang Maha Kuasa atas hasil panen yang melimpah. Ritus ini juga menjadi bentuk penghormatan kepada leluhur yang dipercaya telah melindungi dan menjaga masyarakat dari berbagai malapetaka. Melalui ritus ini, masyarakat Dayak Halong memperkuat ikatan sosial dan kebersamaan serta memelihara dan melestarikan kepercayaan dan tradisi budaya mereka. Prosesi ritus Aruh Baharin dilakukan di balai adat yang memiliki ukuran sekitar 10 meter x 10 meter dan empat tempat pemujaan. Salah satu momen puncak dalam ritus ini terjadi pada malam ketiga hingga keenam, di mana para balian (dukun) melakukan proses batandik (menari) mengelilingi tempat pemujaan. Para balian dalam keadaan seperti kerasukan saat menari dan prosesi ini berlangsung hingga larut malam. Selama prosesinya, mereka diiringi oleh bunyi gamelan dan gong yang menjadi pengiring musik dalam ritus Aruh Baharin.","Adat Istiadat Masyarakat, Ritus, dan Perayaan-Perayaan"
Babukung Dayak Tomun,"Babukung Dayak Tomun festival Adat Istiadat tahunan di Nanga Bulik, Lamandau, Kalimantan Tengah. Festival ini pertama kali digelar pada tahun 2014 dan berasal dari ritual Babukung yang merupakan tarian ritual kematian Suku Dayak Tomun yang menganut agama Kaharingan di Kabupaten Lamandau. Tarian ini menggunakan topeng dengan karakter hewan tertentu yang disebut Luha, sedangkan para penari disebut Bukung. Bukung-bukung ini datang dari desa tetangga atau kelompok masyarakat dengan tujuan menghibur keluarga duka sembari menyerahkan bantuan","Adat Istiadat Masyarakat, Ritus, dan Perayaan-Perayaan"
Kanjan Serayong Dayak Pesaguan,"Kanjan Serayong adalah sebuah ritual adat kematian yang dilakukan oleh masyarakat suku Dayak Pesaguan Sekayu yang tinggal di sepanjang Sungai Pesaguan dan wilayah sekitarnya, di Kabupaten Ketapang, Kalimantan Barat. Ritual ini bertujuan untuk menghormati arwah orang yang sudah meninggal dan mengganti suasana berkabung menjadi suasana riang gembira. Mereka percaya bahwa arwah keluarga yang meninggal akan masuk ke alam sebayan tujoh saruga, tempat yang dianggap abadi dan bahagia. Kanjan Serayong menjadi upacara penghormatan, ungkapan rasa iklas, dan perayaan atas kehidupan serta kemenangan atas maut. Selain itu, ritual ini juga memperkuat ikatan sosial antar-keluarga dan masyarakat. Tema utama Kanjan Serayong adalah kematian dan kehidupan setelah kematian, kesatuan dan persatuan keluarga tercermin dalam musyawarah dan gotong royong dalam persiapan serta pelaksanaan ritual Kanjan Serayong. Kanjan Serayong menggunakan peralatan untuk menari seperti tentabohan (alat musik tradisional), selendang, tekulok (ikat kepala), dan bidak penari (sarung batik) digunakan untuk mengiringi tarian dalam upacara. Selain itu, Mandau dan Lumpang Temiang (bambu) juga merupakan alat yang dianggap penting dalam ritual. Adapun persiapan sesaji yang disiapkan sebagai persembahan ke roh antara lain berbagai macam beras, ayam, telur, buah-buahan, dan tumbuhan hutan. Tahapan ritualnya meliputi persiapan, penyerahan palawatan (bantuan), proses menyandong atau membakar jenazah, serta penyimpanan tulang jenazah di tempat khusus yang disebut Sandong atau Tambak.","Adat Istiadat Masyarakat, Ritus, dan Perayaan-Perayaan"
Kelentangan Kutai Barat,"Kelentangan merupakan musik tradisional suku Dayak Benuaq, di Kutai Barat, Kalimantan Timur. Alat musik ini sering digunakan sebagai iringan tarian hiburan serta dalam keperluan ritual. Kelentangan tidak pernah disajikan dalam bentuk pertunjukan musik secara utuh, melainkan selalu dalam bentuk kesenian gabungan, seperti pengiring upacara atau tarian. Beberapa kalangan masyarakat Dayak Benuaq musik tradisional ini juga dikenal dengan sebutan musik Domeq. Kelentangan Benuaq berfungsi sebagai musik instrumen yang mendukung acara-acara hiburan dan sarana ritual. Dalam upacara Belian Sentiu, Kelentangan memiliki peran penting sebagai alat musik yang mengiringi prosesi penyembuhan. Pertunjukan Kelentangan dalam upacara Belian Sentiu membawa nilai-nilai sosial, seperti keselarasan kehidupan sosial masyarakat Benuaq Tanjung Isuy, kelestarian lingkungan, serta kepercayaan kepada makhluk halus  dan roh-roh leluhur. Kelentangan Benuaq terdiri dari beberapa instrumen atau ansambel yang terdiri dari kelentangan (alat musik berpencon), gimar (kendang silindris), genikng (bende/gong berukuran besar), dan sulking dewa (suling bambu). Kelentangan memiliki peran yang dominan dalam ansambel ini dan membentuk pola melodi yang khas. Kelentangan dimainkan  oleh satu atau dua orang, tanpa batasan jangkauan nada, dengan setiap nada yang dimainkan harus sesuai dengan melodi yang diinstruksikan oleh pemain atau pemeliatn.",Seni Pertunjukan
KELEPAI DAYAK KERABAT SEKADAU,"Kelepai Dayak Kerabat Sekadau merupakan sebuah tas selempang dengan bahan utama kulit kayu  yang digunakan oleh masyarakat Dayak Kerabat Sekadau. Bagian atas tas dihiasi oleh ukiran bernama Sika yang berbentuk persegi lima menyerupai bintang. Kelepai tahan terhadap berbagai kondisi cuaca, baik hujan maupun panas, dan memberikan daya pakai yang cukup lama. Meskipun terkena hujan, barang-barang di dalam Kelepai tidak akan basah. Kelepai ini telah ada selama ratusan tahun sejak zaman nenek moyang orang Dayak Kerabat Sekadau. Fungsi utama dari Kelepai ini adalah sebagai kerajinan yang menjadi tempat penyimpanan  peralatan yang akan dibawa saat berburu ke hutan. Kelepai ini merupakan produk seni dan Teknologi Tradisional yang terus dilestarikan oleh masyarakat Dayak Kerabat Sekadau. Dalam pembuatan Kelepai Dayak Kerabat Sekadau, digunakan bahan-bahan seperti Kulit Kayu Entoli sebagai penutup utama, Kulit Kayu Kapuak sebagai tali selempang, Kayu Pelaik sebagai kerangka utama, dan Rotan sebagai pengikat dan anyaman pada Kelepai. Terdapat ikatan menggunakan rotan yang membentuk anyaman Simpai Karuk dengan 8 putaran dan Simpai Tiang Parak dengan 4 putaran. Anyaman ini berfungsi sebagai pengikat Kelepai agar lebih kokoh dan tidak mudah terlepas. Kelepai Dayak Kerabat Sekadau juga memiliki motif yang dihasilkan dari anyaman rotan.",Kemahiran dan Kerajinan Tradisional
Kukuy,"Kukuy adalah sebuah tradisi adat yang masih dilestarikan dan dikembangkan oleh Suku Dayak Tingalan. Ketika seorang laki-laki Dayak Tingalan berhasil mendapatkan kepala manusia dalam proses mengayau, ia akan dihormati dan dianggap berjasa sehingga layak menjadi calon raja atau pangeran yang dihormati dan ditakuti. Kukuy adalah upacara adat yang wajib dilaksanakan sebagai ungkapan syukur atas keselamatan dan kemenangan setelah mengayau. Meskipun aktivitas mengayau sudah tidak lagi dilakukan setelah agama masuk ke wilayah Kalimantan, Kukuy tetap dijalankan dalam berbagai acara adat seperti upacara peringatan kematian atau di saat ada pejabat seperti Bupati yang datang berkunjung. Selain itu, Kukuy dilestarikan untuk memberikan semangat kepada generasi muda untuk turut serta menjaga budaya dan tradisi Kukuy. Tradisi lisan Kukuy menjadi sarana ekspresi kebahagiaan dan rasa syukur ketika seorang laki-laki Dayak Tingalan berhasil mendapatkan kepala manusia dalam proses mengayau. Tradisi ini mencerminkan kemenangan dan keberanian seorang pemimpin, dan penghormatan terhadap roh leluhur dan semangat kebersamaan. Dalam pelaksanaan Kukuy, terdapat beberapa elemen tambahan seperti alat dan bahan yang menjadi bagian integral dari upacara tersebut. Pertama, untuk menggantikan kepala manusia yang sebelumnya diambil dari aktivitas mengayau, digunakanlah daun silad dari hutan sebagai simbol pengganti kepala. Daun silad ini digunakan dalam upacara peringatan kematian (buang pantang ) dan tetap dijadikan bagian penting dari tradisi Kukuy hingga saat ini. Selain itu, alat bernama tumbok atau suukud yang dinamakan ""bujak"" juga digunakan sebagai senjata perlindungan dalam acara Kukuy. Tumbok atau suukud ini terbuat dari kayu ulin yang sangat tahan sehingga dapat digunakan dalam berbagai kesempatan.",Tradisi dan Ekspresi Lisan
Lalatip,"Tari Magunatip atau Lalatip adalah tarian tradisional yang berasal dari Suku Dayak Tahol di Provinsi Kalimantan Utara. Lalatip artinya menjepit, dan tarian ini muncul pada masa lalu sebagai latihan ketangkasan kaki dalam melompat dan menghindari rintangan. Pada waktu itu, Suku Dayak Tahol menghadapi ancaman perang antarsuku yang sering terjadi, sehingga keterampilan berperang wajib dimiliki pemuda dan pemudi suku tersebut. Seni Pertunjukan Lalatip menjadi sarana bagi pemuda dan pemudi Suku Dayak Tahol untuk mengasah keterampilan melompat dan menghindari rintangan dengan kecepatan dan kecerdasan. Tarian Lalatip juga bentuk hiburan yang memberikan ketegangan dan keseruan. Lalatip menjadi simbol keberanian dan kegigihan dalam menghadapi tantangan. Tarian ini dilaksanakan dalam acara-acara adat serta perayaan masyarakat. Dalam tarian Lalatip, terdapat tiga kelompok pemain yang berperan penting. Kelompok pertama adalah kelompok pemain yang memainkan batang kayu, mereka berdua berhadapan dan berjongkok di tanah sambil menghentakkan kayu dengan posisi menjepit dan melepaskan jepitan mengikuti irama musik pengiring. Kelompok kedua adalah kelompok penari yang terdiri dari perempuan dan laki-laki, mereka menari di antara jepitan kayu dengan melompat bergantian untuk menghindari jepitan tersebut. Gerakan tarian ini ditandai dengan tubuh dan tangan yang meliuk-liuk, mengikuti gerakan khas Suku Dayak Tahol. Kelompok ketiga adalah kelompok pemain musik yang memainkan alat musik tradisional Suku Dayak Tahol seperti gong dan kendang. Suara kedua alat musik ini, bersama dengan suara hentakan kayu, menciptakan irama semangat dan kegembiraan yang mengiringi tarian Lalatip. Penari memperlihatkan ketangkasan ketangkasan kaki dan keterampilan berperang. Dengan kedua mata tertutup penari mengikuti irama seiring hentakan kayu menjepit dan melepas. Ada ketegangan terutama jika penari tidak berhasil menghindar dengan tepat dan kaki terjepit atau terapit oleh batang kayu",Seni Pertunjukan
Niva Duru,"Niva Duru adalah salah satu upacara adat suku Punan di Kalimantan Utara yang masih dilestarikan hingga saat ini. Tradisi ini dilakukan sebagai bentuk ungkapan syukur kepada Tuhan sang pencipta (Duru), yang telah memberikan kehidupan dan berbagai nikmat kepada masyarakat Punan. Niva Duru berfungsi sebagai doa dan ucapan syukur kepada Tuhan atas kehidupan dan kesuksesan dalam berbagai bidang. Selain itu, upacara ini juga mewujudkan nilai-nilai luhur budaya yang menjunjung tinggi kemajemukan dalam masyarakat. Proses Niva Duru, Tebara atau Nebara dilakukan secara bergantian oleh orang tua atau tokoh masyarakat Punan yang memiliki keahlian dan pengaruh besar dalam masyarakat. Peserta upacara tidak terbatas jumlahnya, dan pelaksanaan mengikuti waktu yang telah ditetapkan melalui Tebuku, yaitu penggalangan bagi orang Punan berupa rotan yang diikat. Niva Duru melibatkan berbagai alat dan bahan adat seperti tugu ulin, lalau, uruh pengih, ubuh, ugen, telu you, utok you, tuh you, ndu pengei, burak, umbang bulu, tarik pun, ngeledu/ketuya, lagah lunjung, musik gong, dan properti penari.","Adat Istiadat Masyarakat, Ritus, dan Perayaan-Perayaan"
Punan Leto,"Punan Leto adalah tarian tradisional dari suku Dayak Kenyah yang berasal dari Kalimantan Timur. Punan Leto sering dipentaskan dalam upacara Mecaq Undat atau pesta panen yang bercerita tentang perjuangan, kesungguhan, kesetiaan, dan keadilan dalam kehidupan sehari-hari masyarakat Dayak Kenyah. Tari Punan Leto berfungsi sebagai hiburan dan perayaan, bentuk komunikasi dengan penonton. Proses pertunjukan Tari Punan Leto menampilkan tarian yang meniru gerakan perang dan gerakan burung Enggang. Prosesi tarian Punan Leto dibagi menjadi tiga adegan dengan gerakan dan pola lantai yang berbeda. Adegan pertama memiliki gerakan lembut dan mengalun, adegan kedua mengandung gerakan perang dengan tempo cepat dan teriakan, sementara adegan ketiga menggambarkan suasana bahagia atas kemenangan dalam perang.","Adat Istiadat Masyarakat, Ritus, dan Perayaan-Perayaan"
Tari Pedang Mualang,"Tari Pedang Mualang merupakan tarian tradisional yang dilakukan oleh masyarakat Dayak Mualang di Kabupaten Sekadau, Kalimantan Barat. Tari Pedang Mualang menggambarkan persiapan mental para ksatria perang sebelum memulai ekspedisi Mangayau. Tari Pedang Mualang berfungsi sebagai sarana untuk berkomunikasi dengan Sang Pencipta dan meminta berkah serta perlindungan dalam perang Ngayau. Selain itu, tarian ini juga dipentaskan dalam acara-acara tradisional seperti Gawai Dayak dan Gawai Belaki Bini untuk memperingati pesta panen padi atau pernikahan. Melalui tarian ini, masyarakat Dayak Mualang menyampaikan rasa syukur, membangun semangat, dan menjaga persatuan dalam menghadapi tantangan perang. Proses pertunjukan Tari Pedang Mualang menggunakan alat dan bahan berupa pedang sebagai properti utama dalam tarian ini. Gerakan-gerakan tari seperti gerakan hormat, berkeliling (mengintai dan nimang pedang), dan bermain pedang menghadirkan simbol-simbol yang penting dalam budaya Dayak Mualang. Tarian ini biasanya dilakukan oleh seorang penari tunggal, dengan gerakan yang bersifat spontan dan tidak memiliki batasan yang kaku.",Seni Pertunjukan
Tari Pinggan Sekadau,"Tari Pinggan adalah sebuah kesenian yang hidup dan berkembang di tengah masyarakat Dayak Mualang di Kecamatan Belitang Hilir, Kabupaten Sekadau, Kalimantan Barat. Kesenian ini menjadi ciri khas yang mencerminkan adat dan budaya mereka, menjadi bagian integral dari kehidupan dan transformasi budaya masyarakat Dayak Mualang. Nama ""Pinggan"" merujuk pada wadah piring yang bisa terbuat dari tanah liat atau batu, namun dalam evolusinya diganti dengan piring beling sebagai pengganti pingan tua yang semakin langka. Kesenian ini sekarang dikenal dengan nama Tari Piring, menggambarkan perjalanan budaya dan penghargaan terhadap leluhur. Fungsi sosial Tari Pinggan dalam masyarakat Dayak Mualang sangatlah penting. Kesenian ini tidak hanya sebagai bentuk penghormatan kepada leluhur, tetapi juga sebagai alat integrasi masyarakat, menyatukan mereka melalui kesamaan budaya dan latar belakang kehidupan. Tari Pinggan adalah simbol yang menghubungkan manusia dengan alam, roh leluhur, serta makhluk halus. Dalam masyarakat Dayak Mualang, kesenian ini bukan hanya memiliki nilai estetik, melainkan juga menjadi bagian dari kehidupan sehari-hari, memengaruhi sistem kepercayaan, ekonomi, sosial, dan budaya mereka. Tari Pinggan atau Tari Piring memanfaatkan piring beling putih berdiameter sekitar 10-15 inci sebagai alat utamanya. Alat ini menggantikan pingan tua yang semakin langka, seperti pingan keramik warisan leluhur yang disebut pingan retak seribu. Proses evolusi ini mengubah nama kesenian ini dari Tari Pinggan menjadi Tari Piring. Dalam pelaksanaannya, Tari Pinggan melibatkan semua lapisan masyarakat, dan sering kali dipertunjukkan dalam acara adat, upacara keagamaan, atau perayaan khusus, menjadi simbol penghormatan dan integrasi budaya di antara masyarakat Dayak Mualang.",Seni Pertunjukan
