Antup,"Antup adalah sebuah kesenian drama tari yang merupakan jenis Seni Pertunjukan khas dari Padukuhan Janturan, Desa Tirtoadi, Kecamatan Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta. Kesenian ini pertama kali muncul pada tahun 1935 dan diciptakan oleh Widi Karsono, seorang dalang wayang kulit. Pementasan Antup melibatkan unsur dialog, drama, tarian, dan musik. Ceritanya bervariasi, mengambil latar kerajaan, dongeng, kehidupan sehari-hari, dan sering diselingi dengan adegan lawak. Drama Tari Antup merupakan kesenian tradisional yang sangat sederhana, dengan fokus pada semangat dan penghayatan kuat terhadap karakter tokoh, daripada gemerlap kostum dan piranti lainnya. Kesenian ini menjadi media komunikasi dan sarana untuk melakukan gerakan sosial bersih desa di Desa Tirtoadi. Kesenian Antup digunakan sebagai sarana komunikasi pemimpin desa dengan masyarakat, menyampaikan pesan-pesan moral, dan menghadirkan kritik sosial dalam bentuk dialog yang humoris dan mendekati keseharian. Antup juga berfungsi sebagai media kreasi dan ekspresi bagi masyarakat, dan menjadi sarana hiburan dan edukasi bagi masyarakat. Kesenian Antup menggunakan busana sederhana berlengan, celana, dan irah-irahan yang terbuat dari daun nangka. Tata riasnya juga simpel dengan beberapa coretan pada area wajah pemain, seperti alis dan pipi, ditambah dengan pemerah pipi untuk menegaskan karakter tokoh. Properti yang digunakan disesuaikan dengan kebutuhan cerita, tetapi biasanya sederhana karena pertunjukan ini lahir dari kalangan masyarakat biasa. Adegan perang tidak menggunakan alat senjata seperti pedang, melainkan lebih mengandalkan gerakan tangan.",Seni Pertunjukan
Babad Ngayogyakarta Hamengku Buwono V - VII,"Babad Ngayogyakarta adalah sebuah manuskrip yang menceritakan kronik Kraton Yogyakarta dalam rentang waktu 1846-1877 Masehi, termasuk peristiwa-peristiwa penting di lingkungan Surakarta seperti Jumenengan PB VIII (1859) dan PB IX (1861). Naskah ini ditulis dalam aksara Jawa kuno oleh seorang penulis yang tinggal di Kraton Yogyakarta pada tahun 1886 dan disimpan dengan baik di Museum Sonobudoyo Yogyakarta. Babad Ngayogyakarta memperlihatkan realitas masa pemerintahan HB V-VII di Kraton Yogyakarta. Naskah ini mencakup gambaran tentang kehidupan masyarakat di dalam dan di luar tembok kraton. Naskah ini menggambarkan keberadaan pertemuan agung yang diadakan oleh pemerintah kraton dan dihadiri oleh semua golongan, sebagai bentuk penghormatan terhadap raja. Naskah ini menunjukkan pemaksaan terhadap golongan Abdi Dalem atau golongan bawah untuk hadir dalam penghormatan ini. Naskah ini juga memberikan informasi mengenai tata busana prajurit dan pejabat pada masa tersebut. Babad Ngayogyakarta ditulis menggunakan kertas daluang dengan tinta hitam. Naskah ini memiliki sampul yang terbuat dari karton tebal yang dilapisi kertas berwarna hitam. Ukuran kolom teks yang ditulisi adalah 4 cm lebar dan 24 cm panjang, dengan jarak antar baris sebesar 1,2 cm. Naskah ditulis dengan menggunakan aksara Jawa kuno dan dijilid rapi dengan tali sebagai pembatas antara bagian teks. Naskah ini menjadi salah satu bagian dari Babad Ngayogyakarta yang lebih luas, yang terdiri dari berbagai bagian jilid yang menceritakan tokoh dan peristiwa yang berbeda.",Tradisi dan Ekspresi Lisan
BADUT SINAMPURNO,"Badut Sinampurna adalah sebuah ritus ruwatan tradisional yang berada di Desa Ploso, Kecamatan Tegalombo, Kabupaten Pacitan, Jawa Timur. Dalam ritus ini, terdapat penggunaan mantra khas yang mencerminkan kearifan lokal dan dilakukan dengan prosesi yang dramatis. Ritus ini menggunakan mantra dan ritus dalam ritus ruwatan untuk mengusir penyakit. Ritus Badut Sinampurna berfungsi sebagai sarana untuk memohon perlindungan dan berkomunikasi dengan kekuatan yang besar di luar diri manusia. Selain itu, ritus ini juga memiliki makna sosial sebagai sarana penyebaran agama Islam dan sebagai hiburan bagi masyarakat. Ritus ini juga melibatkan konsep harmoni dengan alam dan mengatasi masalah yang dihadapi oleh masyarakat petani, seperti serangan hama tanaman dan penyakit. Ritus Badut Sinampurna dilaksanakan di lapangan Kademangan Ploso dengan tujuan untuk menghilangkan wabah penyakit yang terjadi di wilayah tersebut. Badut Sinampurna melibatkan beberapa tokoh peran yang memainkan peran penting dalam alur cerita ritus, seperti Ki Jayaniman, Ki Demang, Kala, dan Cantrik. Badut Sinampurna memiliki unsur dramatik dengan plot cerita yang melibatkan konflik, penanjakan, klimaks, penurunan, dan keputusan. Ritus ini menggunakan media berupa kupluk atau topi badut yang berwarna-warni dengan renda-renda sebagai kostum yang digunakan oleh para penari. Musik gamelan dan gerongan sinden menjadi iringan dalam ritus ini, sementara mantra-mantra yang digunakan memiliki diksi yang khas dan berasal dari Kitab Primbon Anthasadur Adammakna. Selain itu, ritus Badut Sinampurna juga melibatkan penggunaan sesajen sebagai bagian dari ritus adat.","Adat Istiadat Masyarakat, Ritus, dan Perayaan-Perayaan"
Bantengan Jawa Timur,"Bantengan adalah sebuah Seni Pertunjukan yang berasal dari Jawa Timur, Indonesia. Kesenian ini menggabungkan beberapa unsur, seperti sendratari, olah kanuragan, musik, dan syair/mantra, dengan nuansa magis yang kental. Pertunjukan Bantengan menjadi lebih menarik ketika pemain yang memegang kepala Bantengan mengalami kesurupan arwah leluhur Banteng, yang dikenal sebagai Dhanyangan. Awalnya, kesenian ini memiliki hubungan erat dengan Pencak Silat, di mana gerakan tari Bantengan diadopsi dari gerakan Kembangan Pencak Silat. Perkembangan kesenian Bantengan terus berlanjut sejak zaman Kerajaan Singasari hingga masa Pemerintahan Kolonial Belanda. Kesenian Tradisional Bantengan berperan sebagai bagian dari kesenian daerah atau tontonan kesenian kebudayaan yang dinikmati oleh masyarakat umum. Bantengan berfungsi sebagai identitas dan ekspresi budaya yang dikembangkan oleh kelompok masyarakat tertentu. Kesenian ini juga memiliki nilai-nilai kebersamaan, gotong royong, keindahan, kebenaran, kebaikan, tanggung jawab, religius, kepercayaan, serta kesadaran akan keburukan dan kejahatan. Bantengan juga mengajarkan rasa persatuan dan kesatuan dalam masyarakat. Pertunjukan Bantengan melibatkan dua orang pemain, yang salah satunya bertugas sebagai pemegang kepala Bantengan dan pengendali gerakan, sementara yang lainnya berperan sebagai ekor Bantengan. Kostum Bantengan terbuat dari kain hitam, dan kepala Bantengan biasanya menggunakan topeng yang terbuat dari kayu dan tanduk asli banteng atau penggantiya, seperti tanduk dari sapi atau kerbau yang sudah mati. Pada saat pementasan, terdapat larangan bagi penonton untuk bersiul, karena hal tersebut dianggap sebagai penghinaan terhadap arwah roh yang masuk ke dalam pemain. Kesenian Bantengan dapat ditemukan di beberapa Kabupaten/Kota di Jawa Timur, terutama di daerah pegunungan seperti Bromo Tengger Semeru, Arjuno-Welirang, Penanggungan (Pacet), Kawi, dan Raung-Argopuro.",Seni Pertunjukan
Batik Bakaran Juwana,"Batik Bakaran Juwana merupakan Pakaian Tradisional berupa batik yang berasal dari Kabupaten Pati, Jawa Tengah. Batik Bakaran ini bermula pada abad ke-14 ketika seorang penjaga benda-benda seni kerajaan Majapahit bernama Nyi Siti Sabirah (Nyi Danowati) mencari tempat persembunyian dari prajurit Kerajaan Demak. Nyi Danowati datang ke Desa Bakaran yang terletak di pesisir dan mengajarkan ketrampilan membatik kepada masyarakat sekitar. Batik Bakaran memiliki corak yang khas, dengan motif seperti gringsing, danliris, kawung, truntum, sida mukti, dan lain-lain. Motif-motif ini memiliki kemiripan dengan batik Voornstenlanden (keraton) dan cenderung menggunakan warna hitam, putih, coklat, atau biru. Batik Bakaran Juwana digunakan dalam kegiatan sehari-hari seperti baju, sarung, bawahan kebaya, dan selendang. Keindahan pola dan warna batik memberikan nilai estetis dan simbol sosial. Nilai simbolik terkandung dalam motif batik, seperti motif gandrung menggambarkan perasaan kasmaran dan jatuh cinta, motif magel ati menggambarkan perasaan kesedihan. Batik Bakaran juga digunakan sebagai seragam Pegawai Negeri Sipil di wilayah Kabupaten Pati dengan motif Minatani. Alat utama yang digunakan dalam proses pembuatan Batik Bakaran Juwana adalah canting, yaitu alat yang terbuat dari tembaga dan bambu yang digunakan untuk melukis pada kain. Selain itu, diperlukan juga gawangan dan bandul untuk menyampirkan kain mori yang akan dilukis, lilin atau malam sebagai bahan untuk melukis motif, panci dan anglo untuk memanaskan lilin, serta larutan pewarna alami atau sintetis untuk memberi warna pada batik. Proses pembuatan batik Bakaran melibatkan tahapan seperti molani (membuat desain atau motif), ngengkreng (melukis lilin pertama kali), isen-isen (mengisi motif), ngerok (pengerokan pada ornamen), dan berbagai tahapan lainnya.",Kemahiran dan Kerajinan Tradisional
Batik Nitik Yogyakarta,"Batik Nitik merupakan Pakaian Tradisional berupa batik dari Daerah Istimewa Yogyakarta. Batik Nitik bercirikan dengan motif nitik (titik) dan termasuk batil tertua di lingkungan Kraton dan masyarakat Yogyakarta. Motif nitik merupakan hasil adaptasi anyaman kain tenun Patola dari india (dikenal dengan kian Cinde) yang di akhir tahun 1700-am. Batik Nitik secara ekonomi berperan penting bagi masyarakat DIY karena diproduksi secara berkelompok. Paguyuban Sekar Nitik di Kembangsongo, Jetis Bantul misalnya menjadi salah satu ruang bagi para ibu-ibu untuk meningkatkan perekonomian keluarganya. Batik Nitik yang diproses secara tradisional masih padat karya sehingga memberi peluang pekerjaan bagi para ibu dan simbah-simbah. Batik Nitik berperan dalam pengembangan kreativitas karya budaya batik di DIY karena motif batik nitik yang luwes dan dapat dikreasikan dengan motif lainnya. Proses pembuatan Batik Nitik membutuhkan canting cawang atau canting kembang. Canting ini khusus dibuat sendiri dengan membelah lubang canting kedua arah yang saling tegak lurus, sehingga ketika ditapakan ke kain akan berbentuk kotak.",Kemahiran dan Kerajinan Tradisional
Batik Salem Brebes,"Batik Salem merupakan Pakaian Tradisional berupa batik dari Salem, kabupaten Brebes, Jawa Tengah. Pada 1917 seorang putri pejabat Pekalongan menikah dengan pemuda Salem dan mengenalkan batik pada masyarakat sekitar. Batik salem kini berkembang dan memunculkan berbagai motif seperti motif kopi pecah, manggar, merak, sinar rantai dan ukel kankungdengan ciri khas warna hitam dan putih. Batik Salem secara ekonomi berfungsi sebagai komoditas ekonomi warga Desa Bentar dan Bentarsari Kecamatan Salem.",Kemahiran dan Kerajinan Tradisional
Beksan Floret,"Beksan Floret adalah sebuah tarian dari Daerah Istimewa Yogyakarta. Tarian ini lahir pada masa kekuasaan Sri Paku Alam IV di Pura Pakualaman. Tarian ini terbentuk dari gabungan teks politik, sosial, ekonomi, dan budaya yang menyatu dalam sebuah tarian khas. Tarian ini menggambarkan kecakapan prajurit dalam memainkan pedang floret dan ketrampilan mereka dalam tarung anggar. Tema utama dalam tarian ini adalah kegagahan dan kecakapan prajurit yang terwujud dalam gerakan yang dinamis dan teknis. Pada tahun 1990-an, atas perintah Sri Paku Alam VIII, seorang ahli bernama Mardjijo ditugaskan untuk menggali kekayaan tari tradisional Pakualaman. Beksan Floret pertama kali dipentaskan di Kraton Yogyakarta dan Pura Pakualaman pada tahun 1994, dan kemudian disiarkan secara luas melalui TVRI. Tari Beksan Floret memiliki peran sosial yang penting, yaitu sebagai simbol pertahanan artistik dari Pura Pakualaman dan Kraton Yogyakarta. Tarian ini menunjukkan keahlian prajurit dalam memainkan pedang floret dan menjadi bagian dari simbol kekuatan dan keamanan kraton. Beksan Floret juga membangkitkan semangat perjuangan dalam masyarakat. Tari Beksan Floret terdiri dari dua bagian utama, yaitu bagian jogedan (olahraga) dan bagian perangan. Kedua bagian ini menggabungkan unsur gerakan olahraga ke dalam tarian dengan tetap mempertahankan patokan gerakan tradisional Jawa yang halus. Alat dan bahan yang digunakan dalam Beksan Floret adalah pedang jenis floret. Floret adalah pedang pajang sekitar 120 cm dengan ujung yang tajam. Properti floret ini memiliki lingkar lengkung besi pelindung jemari tangan pada bagian tangkainya. Busana penari Beksan Floret merupakan perpaduan antara unsur Barat, terinspirasi dari seragam tentara Belanda, dan pakaian tari klasik Jawa. Penari mengenakan ikat kepala, baju lengan panjang, celana panjang, kain jarit (sinjang) motif batik parang, stagen cindhe, serta aksesoris seperti sumping, sabuk-epek-timang, dan kaos tangan putih. Riasan penari dilakukan dengan menggunakan bedak untuk memberikan efek warna rata di wajah, serta aksentuasi pemerah tipis di pipi dan garis mata yang tegas.",Seni Pertunjukan
Beksan Lawung Alit,"Beksan Lawung Alit (alus) adalah salah satu seni tari klasik Gaya Yogyakarta atau Joged Mataraman yang berasal dari Daerah Istimewa Yogyakarta. Tarian ini diciptakan oleh Sri Sultan Hamengku Buwono I pada abad ke-18, bersama dengan Beksan Lawung Ageng (gagah) dan Beksan Sekar Madura. Ketiga tarian ini menyusun pertunjukan seni tari yang utuh yang dikenal dengan nama Beksan Trunjaya. Beksan Lawung Alit menggambarkan suasana bertlatih perang dan adu ketangkasan dalam bermain tombak (watangan), dengan gerakan yang halus dan mengandung falsafah hidup. Beksan Lawung Alit sering dipentaskan pada acara resepsi pernikahan agung putra-putri Sri Sultan Hamengku Buwono di Kepatihan. Sejak zaman Sri Sultan Hamengku Buwono VII, tarian ini telah menjadi hiburan atau tontonan namun karena rasa takut menyamai kraton, masyarakat umum jarang bisa menampilkan Beksan Lawung Alit karena gerakannya yang halus dan tidak dimamis. Tarian ini berfungsi sebagai sarana pendidikan dalam membentuk karakter jiwa ksatria. Penari Beksan Lawung Alit berjumlah 16 orang, terdiri dari berbagai peran seperti penari jajar, penari lurah, penari ploncon, penari botoh, dan penari salaotho. Pertunjukan Beksan Lawung Alit menggunakan alat musik tradisional berupa gamelan laras pelog sebagai musik pengiring. Alat musik yang digunakan adalah Gati Harjuna Mangsah dan Gati Harjuna Asmara, sebagaimana tercatat dalam dokumen RM Dinu Satama, notasi gendhing Harjuna Mangsah. Tata rias dan busana penari Beksan Lawung Alit sama dengan tata busana tari klasik Gaya Yogyakarta, termasuk mengenakan celana pendek, kain samping atau selendang, dan penutup kepala berupa blangkon. Properti yang digunakan dalam tarian ini adalah tombak panjang dengan ujungnya yang tumpul. Tombak ini awalnya dipegang oleh pemeran ploncon, lalu diserahkan kepada lurah atau jajar untuk berlaga. Keris juga digunakan sebagai properti, tetapi tidak semua penari mengenakannya. Lurah, jajar, dan botoh adalah tiga pemeran yang mengenakan keris, masing-masing mengenakan jenis keris yang berbeda.",Seni Pertunjukan
Beksani Bambangan Cakil Surakarta,"Beksan Bambangan Cakil adalah jenis seni tari tradisional di Pura Mangkunegaran Surakarta, Jawa Tengah. Tarian ini diciptakan oleh K.G.P.A.A. Mangkunegara V dan memiliki bentuk wireng. Beksan Bambangan Cakil menggambarkan peperangan antara tokoh Bambangan, yang sering diwakili oleh Raden Angkawijaya (Abimanyu) atau Raden Bambang Irawan, dengan tokoh Denawa Cakil. Inspirasi tarian ini berasal dari segmen Perang Kembang dalam pertunjukan Wayang Orang, meskipun ada perbedaan gaya penyajiannya. Beksan Bambangan Cakil menggambarkan peperangan antara kebaikan dan kejahatan. Tarian ini menyampaikan pesan bahwa kebaikan akan selalu mengalahkan kejahatan. Gerakan tari menggambarkan karakteristik tokoh Bambangan yang lemah lembut dan tokoh Cakil yang beringas. Beksan Bambangan Cakil memiliki makna filosofis yang mengajarkan pentingnya menjauhi perilaku jahat dan mengungkapkan bahwa kejahatan akan mendatangkan akibat buruk bagi diri sendiri. Tarian ini merupakan hiburan masyarakat dan sering ditampilkan dalam acara budaya, penyambutan tamu kehormatan, atau festival budaya. Beksan Bambangan Cakil menggunakan kostum dan aksesoris seperti endhong, garuda mungkur, gimbalan, gumbala, jarik, kalung robyong, kalung ulur, celana, kelat bahu, keris, praba, sampur, dan simbar dada. Tarian ini juga diiringi oleh musik tradisional Jawa Tengah seperti Ladrang Clunthang, Sampak, Laras Slendro, dan Gending Srepengan. Para penari yang memerankan tokoh kesatria menggunakan ragam gerakan tari halus yang menggambarkan sifat lemah lembut dan kebaikan. Tarian ini melibatkan peran pendukung seperti pasukan raksasa dan penari wanita sebagai pasangan kesatria.",Seni Pertunjukan
Blangkon Yogyakarta,"Blangkon adalah pakaian tradsional berupa ikat kepala pria dalam tradisi busana Jawa dari Daerah Istimewa Yogyakarta. Blangkon terbuat dari jalinan kain polos atau bermotif hias (batik) yang dilipat, dililit, dan dijahit sehingga menjadi semacam topi yang langsung dapat dikenakan oleh pemakainya. Blangkon memiliki peran sebagai penutup kepala seorang lelaki yang dalam masyarakat Jawa dianggap penting dan diutamakan. Blangkon merupakan kelengkapan Pakaian Tradisional Jawa dan memiliki arti simbolik. Blangkon digunakan dalam berbagai acara adat, ritus, pertunjukan seni tradisional, dan juga dalam kehidupan sehari-hari. Ikat kepala ini mencerminkan kesopanan, keanggunan, dan kebanggaan atas warisan budaya yang dimiliki oleh masyarakat Jawa. Penggunaan Blangkon juga dapat memperkuat rasa solidaritas dan kebersamaan antara pemakainya dengan masyarakat Jawa lainnya. Blangkon Yogyakarta memiliki desain khas dan menjadi salah satu varian dalam keluarga Blangkon. Alat dan bahan yang digunakan dalam pembuatan Blangkon meliputi kain polos atau batik, benang, jarum, dan mesin jahit. Pembuatan Blangkon melibatkan proses lipatan, pelilitan, dan penjahitan yang menghasilkan bentuk ikat kepala yang khas. Blangkon dapat dikenakan oleh pria dari berbagai lapisan masyarakat Jawa tanpa memandang usia atau status sosial.",Kemahiran dan Kerajinan Tradisional
BROJO GENI TREMAS PACITAN,"Brojo Geni Tremas Pacitan adalah sebuah tradisi permainan sepak bola api yang dilakukan oleh Perguruan Islam Pondok Tremas di Pacitan, Jawa Timur. Tradisi ini didirikan oleh K.H Abdul Manan pada tahun 1830 sebagai media dakwah untuk menyebarkan Islam. Brojo Geni memiliki beberapa rangkaian prosesi yang harus dilalui sebelum pelaksanaannya, seperti pemilihan pemain dari kalangan santri tingkat akhir yang telah menjalani riyadhoh atau tirakat. Pemain yang dipilih harus melaksanakan ibadah puasa tanpa makan nasi putih selama 7 hari 7 malam, puasa ngebleng selama 1 hari 1 malam tanpa tidur, dan berendam di sungai atau belik untuk membersihkan diri. Tingkat keberhasilan dalam mengendalikan api dalam permainan ini bergantung pada tingkat keilmuan dan spiritualitas para santri. Brojo Geni Tremas berfungsi sebagai media dakwah dan hiburan yang menarik. Filosofi permainan ini mencerminkan nilai-nilai keagamaan seperti ketakwaan, pengendalian diri, dan kerjasama antar pemain Melalui permainan sepak bola api ini, nilai-nilai keagamaan dan pengendalian diri diajarkan kepada para santri. Puasa sebelum memulai permainan melambangkan ketakwaan, sementara pengendalian nafsu dilambangkan dengan bola api yang selalu menyala. Permainan ini mengajarkan kerjasama dan saling menghargai antara para pemain. Brojo Geni Tremas sering dilaksanakan pada tanggal 1 Muharram dan menjadi acara penting dalam wisuda santri yang telah menyelesaikan pendidikan di tingkat atas. Permainan Brojo Geni menggunakan kain sarung yang dinaikkan sampai lutut dan tidak memakai alas kaki. Pemain menggunakan bola khusus yang terbuat dari sabut kelapa yang direndam dalam minyak tanah dan disulut api. Brojo Geni dilakukan seperti pertandingan futsal, di mana para pemain berani berebut bola dan menendangnya ke gawang.",Pengetahuan dan kebiasaan perilaku mengenai alam dan semesta
Busana Mataraman Yogyakarta,"Busana Mataraman Yogyakarta merupakan pakaian adat tradisional di Kraton Yogyakarta, Daerah Istimewa Yogyakarta. Busana ini memiliki hubungan erat dengan berdirinya Kasultanan Yogyakarta dan Sri Sultan Hamengku Buwana I sebagai raja pada masa tersebut. Sri Sultan Hamengku Buwana I dan pujangga kraton lainnya menjadikan kraton menjadi pusat kebudayaan yang menghasilkan berbagai seni seperti tari, seni bangunan, musik, dan seni tata busana. Pakaian adat tradisional di Yogyakarta memiliki kekhasan budaya Jawa yang membedakannya dari daerah lain, terutama dalam hal tata busana yang meliputi pakaian, ikat kepala, dan perlengkapan lainnya seperti keris. Busana Mataraman Yogyakarta merupakan pakaian adat tradisional kraton Yogyakarta dan dikenal sebagai pakaian adat yang resmi dan khas Yogyakarta. Busana ini awalnya digunakan untuk mencerminkan status dan peran setiap orang dalam masyarakat. Busana ini dipakai pada saat ritus resmi, gerebeg Maulud dan ritus perkawinan. Pakaian adat tradisional Kraton Yogyakarta terdiri dari seperangkat pakaian yang memiliki unsur-unsur yang saling terkait. Secara keseluruhan, pakaian adat terdiri dari bagian atas (tutup kepala), bagian tengah (baju kain atau celana), dan bagian bawah (alas kaki). Pakaian adat ini dibuat dengan menggunakan alat dan bahan tradisional yang khas Yogyakarta, yang dipilih dengan cermat untuk menciptakan tampilan yang elegan dan berwibawa.",Kemahiran dan Kerajinan Tradisional
Cingpoling,"Cingpoling adalah sebuah seni tari tradisional yang berasal dari Kabupaten Purworejo, Jawa Tengah. Kesenian ini muncul pada masa penjajahan Belanda pada abad ke-17 di Desa Kesawen, Kecamatan Pituruh, Kabupaten Purworejo. Pada masa sekarang, Cingpoling merupakan bagian dari organisasi kesenian Tunggul Wulung yang terbentuk sejak tahun 1957. Kesenian ini menggambarkan prajurit Demang Kesawen dan tiga orang pengawalnya yang melakukan latihan beladiri. Awalnya kesenian ini digunakan sebagai penyamaran gladi keprajuritan untuk pengawal Demang Kesawen saat melakukan pisowanan. Saat ini Cingpoling memiliki fungsi hiburan dan pertunjukan karena pertunjukan ini sempat dilarang dan bertransformasi menjadi gerakan tari Tema kesenian ini menggambarkan nilai pengabdian, tanggung jawab, dan kedisiplinan prajurit dalam melaksanakan tugasnya. Pertunjukan tari Cingpoling menggunakan kostum yang terdiri dari tutup kepala berbentuk pacul gowang untuk kemendir dan pemencak, serta iket corak wulung untuk pemain lainnya. Busana anggota lainnya mengenakan beskap motif lurik dengan gaya Yogyakarta. Alat-alat yang digunakan meliputi bendera atau panji-panji, kecer, terompet, pedang, serta alat musik seperti kendang buntung, bendhe, ketipung, dan kecr̩k. Pertunjukan Cingpoling dilakukan dengan mengikuti serangkaian ragam gerak yang memiliki urutan dan pola tertentu, seperti ujung, cakrak, titenan, gambul, dugangan, kitrangan, jajagan, adon-adon, gebragan, genjotan, limpen, dan teteran.",Seni Pertunjukan
Damar Kurung,"Damar Kurung adalah sebuah kerajinan diperkirakan merupakan metamorfosis dari Wayang Beber yang mulai ditinggalkan seiring munculnya Wayang Kulit. Seni Damar Kurung diperkirakan telah ada sejak abad ke-16 atau bahkan lebih awal. Seni Damar Kurung memiliki pengaruh dari lukisan era Sunan Prapen dan relief lukisan di dinding piramida Mesir. Di Indonesia, Damar Kurung memiliki kemiripan motif dengan kain batik dan kain tenun dari Sasak di Lombok. Damar kurung berfungsi sebagai ungkapan rasa syukur dan penghormatan terhadap peristiwa penting dalam agama, terutama di perayaan Lailatul Qodar pada bulan Ramadhan dalam kalender Hijriyah. Selain itu, Damar Kurung juga menjadi suvenir khas Kota Gresik yang memperkaya warisan budaya dan menjadi daya tarik bagi wisatawan. Damar Kurung dibuat dari kertas yang diterangi oleh lampu damar yang ditempatkan di belakang kertas. Alur cerita atau pembacaan gambar pada Damar Kurung dilakukan secara berkelanjutan.",Kemahiran dan Kerajinan Tradisional
