Ajaran Sestradi Puro Pakualaman,"Ajaran Sestradi Puro Pakualaman merupakan kearifan lokal yang berasal dari Kota Yogyakarta, Provinsi Daerah Istimewa Yogyakarta. Ajaran Sestradi mengajarkan nilai-nilai dan watak yang harus dimiliki oleh setiap individu dalam kehidupan sehari-hari. Ajaran ini telah ada sejak masa pemerintahan Paku Alam I, tetapi lebih populer di masa pemerintahan Paku Alam II. Ajaran Sestradi dianggap sebagai pusaka yang mengharapkan kemuliaan dan kejayaan. Ajaran Sestradi Puro Pakualaman berperan dalam membentuk watak dan kepribadian yang matang pada masyarakat Yogyakarta dan sekitarnya. Ajaran ini menekankan pentingnya menerapkan butir-butir nilai seperti takwa, sabar, syukur, tulus ikhlas, dan berbagai nilai lainnya. Ajaran ini menanamkan nilai-nilai seperti berani, berusaha, tulus, dan cerdas ditekankan agar menjadi bagian dari kehidupan sehari-hari. Ajaran Sestradi memiliki makna universal dan dapat diterapkan oleh siapa pun, di mana pun, dan kapan pun. Proses transmisi ajaran Sestradi dimulai dengan memberikan pengetahuan kepada para Abdi Dalem Puro Pakualaman yang juga merupakan masyarakat Yogyakarta. Selanjutnya, ajaran ini diwartakan kepada para kerabat trah yang berada di luar Provinsi DIY, seperti DKI Jakarta. Ajaran ini juga dikenalkan melalui berbagai bentuk seperti seminar, dialog, dan penjelasan dalam acara Pawiyatan Bahasa Jawa. Dari sinilah ajaran Sestradi terus dikenalkan dan diajarkan kepada masyarakat luas.",Tradisi dan Ekspresi Lisan
Bedhaya Kuwung-Kuwung,"Bedhaya Kuwung-Kuwung adalah salah satu seni tari klasik gaya Yogyakarta yang menjadi bagian dari warisan budaya di Kraton Yogyakarta, Daerah Istimewa Yogyakarta. Kata ""kuwung"" dalam bahasa Jawa dapat diartikan sebagai pelangi, yang menggambarkan keindahan tarian ini. Tarian ini muncul pada masa pemerintahan Sri Sultan Hamengku Buwono VII. Tarian ini direkonstruksi berdasarkan naskah yang ada sejak masa Sultan HB VII dan HB VIII, ini terlihat pada gerakan tari, pola lantai, dan pencocokan dengan gending Bedhaya Kuwung-Kuwung ditemukan di Kraton Yogyakarta. Bedhaya Kuwung-Kuwung merupakan bagian dari perayaan dan peringatan dalam kerajaan. Tarian ini dipertunjukkan saat Sultan HB VII mendapatkan penghargaan Agem Ageman Bintang Ageng Kunendor dari Gubernur sebagai hasil diplomasi budaya. Bedhaya Kuwung-Kuwung mengandung makna yang mendalam serta pesan moral dalam kehidupan sosial masyarakat. Tema tarian ini melibatkan keindahan, kebesaran, dan keharmonisan, serta pesan moral hidup berkesetaraan, hidup berdampingan, dan saling menghargai. Bedhaya Kuwung-Kuwung memiliki peran penting dalam melestarikan seni dan budaya sebagai bagian dari strategi diplomasi kebudayaan yang mampu menyatukan masyarakat. Bedhaya Kuwung-Kuwung melibatkan sembilan penari yang bergerak dalam formasi yang teratur dan saling melengkapi. Busana yang digunakan dalam tarian ini berbeda dengan model paes-basahan-berkemben, melainkan sudah menggunakan jamang, bulu-bulu, dan baju tanpa lengan berbahan beludru. Rias busana penari menggunakan dodot ageng atau basahan, gelung bokor mengkurep, dan berbagai aksesoris perhiasan seperti centhung, garudha mungkur, sisir jeram saajar, cundhuk mentul, dan tiba dhadha. Alat musik yang mengiringi tarian ini adalah gending Gati Helmus, Lagon Pelog Barang Jugak, dan Gending Kuwung-Kuwung. Gerakan tarian dipertahankan dengan keprak sebagai tanda dimulainya tarian, dan penari bergerak dengan lembut, halus, dan pelan menjaga keserasian dengan alunan musik.",Seni Pertunjukan
Beksan Etheng,"Beksan Etheng merupakan sebuah seni tari yang diciptakan oleh Sri Sultan HB I (RM Sujono/PA Mangkubumi) di Keraton Yogyakarta, Daerah Istimewa Yogyakarta. Tarian ini lahir bersamaan dengan karya-karya tari semasa Beksan Trunajaya yang terdiri dari Lawung Ageng, Lawung Alit, dan Sekar Madura. Beksan Etheng merupakan bagian dari upaya peletakan dasar pandangan hidup negara dan masyarakat Ngayogyakarta serta sebagai sarana pengendali perubahan sosial menuju kehidupan yang tertib. Tarian Beksan Etheng adalah sebagai media pemediaan pesan falsafah seni, budaya, dan prinsip hidup dalam tradisi Keraton Yogyakarta. Tarian ini menggambarkan perpaduan antara tradisi Jawa dan unsur-unsur seni tradisional lainnya, seperti ragam tari Bugis dan Madura. Beksan Etheng juga menjadi penanda adanya dialog antarbudaya yang terjadi dalam pembentukan korps Prajurit Bugis yang ada di Keraton Yogyakarta. Tarian ini memiliki peran penting dalam menjaga dan melestarikan budaya Mataram serta memperkaya khazanah tari klasik Yogyakarta. Tarian Beksan Etheng melibatkan dua belas penari yang memainkan peran Botoh, Sawung, dan Rencang Botoh. Ragam tari yang digunakan dalam Beksan Etheng meliputi tari Kagok Bapang untuk Botoh, kalang kinantang alus untuk Sawung, dan ragam tari yang belum dinamai untuk Rencang Botoh. Penampilan tarian ini menggunakan pakaian wayang wong zaman kuno dan dilengkapi dengan alat seperti tameng. Iringan musik yang digunakan adalah Gending Tawang Ganjur Slendro Pathet 9 dan Gending Kalaganjur. Prosesi penampilan Beksan Etheng melibatkan pocapan (dialog) dalam bahasa campuran bahasa Madura dan bahasa Bagongan. Tarian ini juga diwarnai dengan berbagai interaksi dan tawa antara penari. Tarian ini membutuhkan waktu sekitar satu tahun untuk dipelajari agar pemainnya mahir dan dapat menyampaikan makna dan dialog dengan natural.",Seni Pertunjukan
Beksan Lawung Ageng Keraton Yogyakarta,"Beksan Lawung Ageng adalah salah satu bentuk seni tari tradisional yang berasal dari Keraton Yogyakarta, Daerah Istimewa Yogyakarta. Beksan ini diciptakan oleh Sri Sultan Hamengku Buwana I, yang memerintah antara tahun 1755 hingga 1792. Nama ""Lawung"" diambil dari kata ""lawung"" atau ""watang,"" yaitu tongkat panjang berujung tumpul yang menjadi salah satu alat yang digunakan dalam pertunjukan ini. Lawung Ageng diilhami oleh latihan perang-prangan dan gerakan para prajurit, dengan sentuhan dialog berbahasa campuran antara Madura, Melayu, dan Jawa. Pertunjukan ini sangat dihormati dan memiliki nilai seremonial tinggi, terutama ketika dijadikan perwakilan raja dalam ritus pernikahan agung di Keraton Yogyakarta. Pertunjukan Beksan Lawung Ageng melambangkan semangat kepahlawanan dan keberanian, menggambarkan tema-tema perang dan pertempuran. Selain menjadi wakil raja dalam ritus pernikahan agung, Beksan Lawung juga menjadi simbol kekuasaan dan kebesaran keraton. Pertunjukan ini melibatkan 40 penari yang dibagi menjadi tiga bagian: Lawung Ageng untuk gagahan 16 penari, Beksan Sekar Madura, dan Beksan Alus. Selama perjalanan dari Keraton Kepatihan, para penari Beksan Lawung mengendarai kuda dengan payung gilap kebesaran, diiringi oleh gamelan Kyai Guntur Sari dan diawasi oleh prajurit Wirabraja. Fungsi sosial Beksan Lawung adalah untuk melestarikan nilai-nilai kepahlawanan dan memperingati peristiwa-peristiwa bersejarah dalam sejarah Keraton Yogyakarta. Para penari Beksan Lawung Ageng, menggunakan senjata tradisional Lawung atau tongkat panjang berujung tumpul. Gerakan tariannya mencerminkan semangat perang dan ketangkasan para prajurit dalam berperang. Kostum yang digunakan para penari Beksan Lawung Ageng biasanya adalah Pakaian Tradisional Jawa yang megah dan berwarna cerah. Pertunjukan ini melibatkan berbagai elemen budaya dan tradisi, seperti gamelan Kyai Guntur Sari yang menyertai pertunjukan dengan gendhing-gendhing Sabrangan.",Seni Pertunjukan
Besutan Jombang,"Besutan adalah sebuah Seni Pertunjukan teater rakyat yang berasal dari Jombang, Jawa Timur. Awalnya dikenal sebagai Lerok dan kemudian Ludruk, kata ""besut"" sendiri berasal dari bahasa Jawa yang berarti membersihkan atau menghaluskan. Besutan juga merupakan akronim dari ""mbeto maksud"" yang berarti membawa maksud, yang merujuk pada maksud dan tujuan yang terkandung dalam pertunjukan. Pertunjukan Besutan adalah sarana hiburan dan hiburan rakyat Jombang. Pertunjukan ini menjadi sumber penghasilan tambahan bagi para pemainnya, yang sebagian besar merupakan petani. Tema yang diangkat dalam pertunjukan Besutan adalah kehidupan sehari-hari masyarakat, kisah-kisah humor, dan cerita-cerita yang menghibur. Pertunjukan Besutan menggunakan alat musik seperti kendang menjadi pengiring dalam pertunjukan. Properti lain dalam pertunjukan ini obor yang digunakan saat memasuki arena pertunjukan, kain putih yang diturunkan untuk menunjukkan dada, dan susur (tembakau) yang digunakan untuk menyumbat mulut pemain.",Seni Pertunjukan
Cepetan Alas,"Cepetan Alas adalah Seni Pertunjukan dari Kebumen, Jawa Tengah. Pertunjukan Cepetan Alas menampilkan pemain bertopeng dengan berbagai karakter dan seringkali penari tersebut mengalami trance atau kesurupan. Kesenian Cepetan Alas lahir sebagai bentuk perlawanan nonfisik rakyat untuk mengusir penjajah dengan cara menakut-nakuti dengan topeng cepetan yang seram hingga membuat mereka tidak kerasan dan meninggalkan wilayah Kebumen. Cepetan Alas sendiri berasal dari kata cepet yang konon merupakan salah satu makhluk halus pada cerita masyarakat pedesaan Kebumen. Sedangkan kata alas diambil dari bahasa Jawa yang artinya hutan. Pertunjukan Cepetan Alas menggambarkan makhluk halus yang keluar dari hutan. Cepetan Alas pada awalnya berfungsi sebagai seni perlawanan terhadap penjajah. Kesenian tradisional ini bertujuan sebagai ritual bagi para leluhur dan unsur alam lainnya yang ditampilkan secara magis penari yang mengalami kesurupan. Saat ini, pertunjukan Cepetan Alas menjadi hiburan khas Kebumen yang melibatkan seni tari dan musik dengan pementasan dilakukan di pusat kota Kebumen Pertunjukan cepetan alas umumnya terdiri atas penari dan pemain musik gamelan. Para penari menggunakan topeng yang terbuat dari kayu pule dengan diberi ijuk sebagai rambut. Sedangkan untuk pakaiannya, umumnya memakai kostum hitam, ikat pinggang, serta jarit.",Seni Pertunjukan
Gandrung Banyuwangi,"Gandrung berasal dari Bahasa Jawa yang berarti “tergila-gila” atau “cinta habis-habisan”, yang merupakan salah satu genre tari yang terkenal di Banyuwangi, Jawa Timur. Tradisi Gandrung ini memiliki sejarah panjang di Banyuwangi dan menjadi ikon khas daerah tersebut. Fungsi dari tari Gandrung adalah sebagai hiburan dalam berbagai acara, seperti perkawinan, pethik laut, khitanan, tujuh belasan, dan berbagai acara tak resmi lainnya. Tari Gandrung melibatkan seorang wanita penari profesional yang menari bersama tamu, terutama pria, dengan iringan musik gamelan bertema cinta. Dalam pertunjukan Tari Gandrung, alat musik utama yang digunakan adalah kendang dan gamelan. Kendang memberikan ritme yang kuat dan mengatur langkah-langkah tarian, sementara gamelan memberikan iringan musik yang membangun suasana dan menguatkan ekspresi tarian. Saat ini, tari Gandrung ditarikan oleh wanita, baik yang merupakan keturunan penari Gandrung sebelumnya maupun gadis-gadis muda non-keturunan yang mempelajari tarian ini sebagai sumber mata pencaharian dan untuk mempertahankan eksistensi kesenian ini.",Seni Pertunjukan
Jabar Juwes,"Kesenian Jabarjuwes adalah kesenian baru yang dikembangkan dengan memadukan kesenian Wayang Wong, Kethoprak, dan Wayang Golek yang berkembang di daerah Sleman. Jeber dan Juwes pada awalnya adalah tokoh lawak dalam kesenian ini, dan karena kemampuannya mencuri perhatian masyarakat, maka kesenian ini dinamakan dengan Jabarjuwes. Saat ini hanya ada satu grup di Desa Sendangagung yang masih mempertahankan kesenian ini. Kesenian Jabarjuwes berfungsi sebagai hiburan yang dipentaskan dalam acara ulang tahun Kemerdekaan Republik Indonesia, Upacara Merti Dusun, dan Hari Jadi Kabupaten Sleman. Kedua, sebagai bagian dari tradisi adat, kesenian ini digunakan dalam acara melepas nadar. Ketiga, sebagai sarana pemersatu masyarakat, Jabarjuwes dapat melibatkan berbagai lapisan masyarakat tanpa memandang agama, kelas sosial, atau jabatan. Selain itu, Jabarjuwes juga dapat menyampaikan pesan-pesan moral dan pembangunan kepada penontonnya melalui nilai-nilai yang tersirat dalam cerita dan adegan-adegan lawakan. Alat-alat yang digunakan dalam kesenian ini antara lain gamelan dengan laras slendro dan pelog, yang terdiri dari saron, demung, bonang, gong, kendhang, keprak, dan lain-lain. Selain itu, tata busana dan tata rias juga merupakan bagian penting dari pertunjukan Jabarjuwes, dengan kostum yang lucu dan sesuai dengan karakter tokoh. Dalam tarian, gerakan tarinya menyerupai gerakan Wayang Golek dengan posisi tangan yang khas. Dalam kesenian ini juga terdapat dialog atau percakapan yang dilakukan oleh para pemain, baik itu dalam bahasa Jawa dialek Yogyakarta maupun bahasa Indonesia.",Seni Pertunjukan
Kentrung,"Kentrung adalah seni sastra lisan atau seni bertutur yang diiringi oleh tabuhan terbangan dan kendang. Seni tradisional ini berasal dari Tuban dan mulai dikenal pada masa penyebaran agama Islam di Jawa, terutama pada masa Wali Songo. Nama ""kentrung"" berasal dari suara yang dihasilkan oleh alat musik tradisional tersebut, yang berbunyi trung-trung. Pada awal kemunculannya, seni kentrung menceritakan sejarah masa lalu, terutama tentang kerajaan Islam di Jawa dan kisah Nabi, dan hanya dimainkan oleh seorang pemain terbangan dan pembaca cerita. Kentrung sebagai tradisi lisan dapat digunakan sebagai media pendidikan, media penerangan atau sarana menyampaikan kritik sosial, dan media hiburan atau tontonan. Sebagai media pendidikan, kentrung harus mampu menyampaikan nilai-nilai melalui keahlian dalang yang juga berperan sebagai sutradara dalam pertunjukan, termasuk nilai-nilai agama Islam dan pelestarian budaya Jawa. Sebagai media hiburan, kentrung memberikan kesempatan bagi penonton untuk melepas lelah , menghilangkan stres, dan bersantai. Pertunjukan kentrung melibatkan dalang dan panjak yang mendongeng tanpa menggunakan wayang. Musik yang mengiringi termasuk kendang, tamburin, jidor, terbang, templeng, dan gong. Penokohan para pelaku dalam cerita kentrung juga mengandung nilai-nilai pendidikan yang baik maupun buruk. Penampilannya sederhana dengan penggunaan bahasa Indonesia dan dialek daerah yang mudah dimengerti oleh masyarakat, terutama masyarakat menengah ke bawah. Musik yang mengiringi  pertunjukan saat ini dapat disesuaikan, seperti penggunaan musik dangdut untuk meningkatkan unsur hiburan.",Seni Pertunjukan
