Barongan Blora,"Barongan Blora merupakan Seni Pertunjukan yang berasal dari daerah Blora, Jawa Tengah. Kesenian ini terinspirasi dari hikayat Panji yang melibatkan karakter Raden Panji Asmarabangun/Pujonggo Anom dan Singo Barong. Pertunjukan Barongan Blora dimulai dengan iring-iringan prajurit berkuda yang mengawal Raden Panji dan Singo Barong. Cerita dalam pertunjukan mengisahkan perjalanan para tokoh dalam mencari cinta dan melamar Dewi Sekartaji, yang melibatkan pertempuran sengit dengan Singo Barong. Pertunjukan ini melibatkan berbagai karakter dan adegan dramatis yang menggambarkan perjuangan dan kemenangan. Pertunjukan Barongan Blora menjadi sarana hiburan bagi masyarakat setempat dan menjadi bagian dari ritus tradisional. Pertunjukan ini juga memiliki nilai pendidikan, mengajarkan tentang perjuangan, kesaktian, dan nilai-nilai moral. Melalui cerita yang dimainkan, masyarakat diajak untuk menghargai keberanian, kejujuran, dan cinta. Pertunjukan Barongan Blora juga berfungsi sebagai sarana mempererat ikatan sosial antara pemain dan penonton, serta membangun rasa kebersamaan dalam komunitas. Pertunjukan Barongan Blora melibatkan para pemain laki-laki dalam peran-peran utama. Pertunjukan Barongan Blora menggunakan berbagai alat dan bahan yang khas. Para pemain mengenakan kostum prajurit berkuda dan topeng yang menggambarkan karakter dalam cerita. Pengiring musik dalam pertunjukan adalah kendang, gendang, rebana, dan gamelan. Alat peraga berupa pecut Samandiman digunakan untuk menggambarkan kekuatan dan pertempuran dalam cerita. Pertunjukan Barongan Blora biasanya dilakukan di tempat terbuka, seperti lapangan atau halaman rumah, dengan latar belakang alam dan lingkungan sekitar yang menjadi bagian dari pertunjukan.",Seni Pertunjukan
Bedhaya Sapta,"Bedhaya Sapta adalah salah satu seni tari klasik dari Daerah Istimewa Yogyakarta. Bedaya Sapta adalah tari Keraton Yogyakarta Yasan Dalem yang diciptakan oleh Sri Sultan Hamengku Buwono IX pada tahun 1940-1988. Bedhaya Sapta awalnya diciptakan oleh KRT Mertanegara saat pemerintahan Sri Sultan Hamengku Buwono VI untuk membedakannya dari bedhaya yang ada di dalam tembok istana. Namun, ide cerita yang melatarbelakangi tarian ini muncul pada tahun 1943 ketika Sri Sultan Hamengku Buwono IX menemukan buku Babad Pasundhan yang memuat kisah dua punggawa Sultan Agung. Naskah yang menggambarkan Bedhaya Sapta termuat dalam manuskrip yang disimpan di perpustakaan KHP Kridhomardowo Keraton Yogyakarta. Tema tarian ini mengisahkan kisah Pangeran Nampabaya dan Pangeran Lirbaya yang diutus untuk memperluas wilayah kerajaan dan membangun tapal batas antara Mataram dan Pasundan. Bedhaya Sapta melibatkan ragam gerak seperti gudhawa asta minggah, mlampah semang, impang encot, gajah ngoling, dan lainnya. Pola lantai dalam tarian ini memiliki kekhasan dengan garis diagonal yang menjadi ciri khas Bedhaya Sapta. Bedhaya Sapta merupakan bagian dari acara penyambutan tamu negara di Keraton Yogyakarta. Tarian ini dihadirkan pada acara-acara istana penting, seperti Tingalan Jumenengan Dalem. Nama ""Sapta"" mengacu pada jumlah penari yang terlibat dalam tarian ini, yaitu tujuh penari. Musik yang mengiringi Bedhaya Sapta terdiri dari berbagai gendhing pelog yang dibawakan dengan gamelan pelog. Beberapa gendhing yang sering digunakan antara lain Lagon Lasem, Ladrang Gati Mardika, dan Gendhing Ngambar Arum. Penari Bedhaya Sapta mengenakan busana yang serupa, seperti baju rompi bludiran dengan kain motif parang gurdha latar putih. Rias wajah penari menggunakan teknik jahitan, sementara kepala dilengkapi dengan aksesoris seperti jamang, sanggul gelung sinyong, dan subang. Aksesoris lainnya seperti kelat bahu, sampur cindhe, dan gelang juga digunakan.",Seni Pertunjukan
Bedhaya Semang,"Bedhaya Semang adalah salah seni tari Bedhaya yang berasal dari Daerah Istimewa Yogyakarta. Tarian ini awalnya ditarikan oleh tujuh orang putri dan dianggap sebagai representasi kehidupan para dewa saat mereka menciptakan tujuh bidadari yang mengelilingi Suralaya. Bedhaya Semang merupakan tarian dengan komposisi sembilan penari putri. Tarian ini pertama kali dibuat pada masa Sultan Agung di Kerajaan Mataram dan kemudian diadopsi oleh Kasultanan Yogyakarta. Nama ""Semang"" sendiri memiliki arti khawatir, was-was, atau ragu-ragu, yang mengacu pada keraguan hati Panembahan Senopati saat bertemu dengan Ratu Kidul dalam semadi dan menerima persembahan tarian. Bedhaya Semang adalah bagian dari pertunjukan seni budaya dan kesenian tradisional di Jawa. Tarian ini biasanya dilakukan di lingkungan keraton atau dalam acara-acara istana yang penting. Tema tarian ini mencerminkan perang batin antara akal dan pikiran jiwa manusia dengan nafsu manusia. Dalam pertunjukan Bedhaya Semang, terdapat peran utama yang diperankan oleh batak dan endhel, yang melambangkan pertempuran dalam diri manusia antara pemikiran rasional dan hasrat nafsu. Tarian ini memiliki makna moral dan spiritual yang dalam, mengajarkan tentang pentingnya mengendalikan dan menyeimbangkan kekuatan-kekuatan internal dalam diri manusia. Para penari Bedhaya Semang menggunakan busana dan riasan yang sama untuk melambangkan kesetaraan di antara mereka. Penari dalam Bedhaya Semang umumnya adalah putri-putri keraton yang telah dilatih dalam seni tari sejak usia muda. Alat musik yang mengiringi tarian ini biasanya terdiri dari gamelan Jawa dengan gending-gending khas yang sesuai dengan nuansa tarian.",Seni Pertunjukan
Bedhaya Tejanata Pakualaman,"Bedhaya Tejanata adalah sebuah seni tari tradisional yang berasal dari Pakualaman, salah satu keraton di Daerah Istimewa Yogyakarta. Kesenian ini memiliki asal-usul yang berkaitan dengan pernikahan Kanjeng Gusti ke VII dengan Putri Solo, PBXI (BRA Retna Puwasa). Proses pernikahan tersebut juga melibatkan penyatuan Tejanata yang memiliki makna sebagai Sinar Raja Solo dan Pakualaman sebagai simbol kewibawaan seorang Raja. Bedhaya Tejanata menjadi bagian penting dari keberadaan tarian klasik di Pura Pakualaman dan dianggap sebagai penanda budaya terkait peristiwa monumental serta persentuhan dua gaya tari klasik Jawa, Yogyakarta dan Surakarta. Bedhaya Tejanata adalah penanda budaya terkait peristiwa pernikahan antara dua kerajaan penting di Jawa, Pakualaman dan Solo. Bedhaya Tejanata menjadi simbol dari keragaman dalam basis budaya Jawa yang disatukan dalam semangat untuk saling menguatkan. Kesenian ini menggambarkan keindahan gerakan tari yang memancarkan kesederhanaan bedhaya dengan dipenuhi aura wibawa dan makna. Bedhaya Tejanata juga mengawal suatu momentum sejarah yang menjadi titik waktu masuknya tarian Surakarta ke dalam istana Pura Pakualaman. Pertunjukan Bedhaya Tejanata melibatkan tujuh penari, baik pria maupun wanita, yang secara hati-hati menggambarkan keagungan dan wibawa gerakan tari. Bedhaya Tejanata menggunakan aksesoris tradisional seperti perisai (dhadhap) dan keris. Awalnya, tarian ini menggunakan senjata pisau karena preferensi Kanjeng Gusti penggunaan pisau dalam tarian dihilangkan. Para penari memperlihatkan keagungan dan wibawa gerakan dengan intensitas ekspresi wajah yang datar dan tenang. Bedhaya Tejanata juga mempertunjukkan pergerakan penari yang geser ke arah kanan dengan gerakan kapang-kapang setelah mencabut dan menebarkan perisai di tangan kanan. Kesenian ini tidak sembarangan untuk dipertunjukkan di luar kraton dan memerlukan penari yang mampu menghayati dan memaknai gerakan dengan baik.",Seni Pertunjukan
Begalan Banyumas,"Begalan adalah bagian dari ritus tolak bala bagi calon mempelai di Banyumas, Jawa Tengah. Awal mula tradisi ini terjadi saat Adipati Wirasaba melakukan ritus Bagelan saat mengawinkan anaknya dengan putra Banyumas di masa wabah (pageblug). Seni Begalan merupakan syarat yang harus dipenuhi ketika menjodohkan anak sulung dengan anak sulung, serta anak bungsu dengan anak sulung. Ritus Begalan dilakukan setelah pengantin melakukan ijab qobul dan menuju tempat duduk pengantin. Begalan Banyumas adalah sebagai bentuk perlindungan dan pembersihan spiritual bagi kedua calon mempelai. Ritus ini bertujuan untuk mengusir atau melepaskan mala pertaka yang dapat mengganggu kehidupan rumah tangga. Begalan memiliki makna sebagai perwujudan rasa syukur dan harapan akan kehidupan yang harmonis bagi pasangan pengantin. Tradisi ini juga menjadi sarana dalam mempertahankan adat dan budaya Banyumas serta menjaga keutuhan dan kesatuan keluarga dalam sistem kekerabatan. Proses Begalan menggunakan seperangkat alat dapur yang akan dipikul oleh seorang peserta dan seikat padi yang menjadi simbol kelimpahan rezeki. Dalam ritus Begalan, seorang begal berperan menghalangi pemikul alat dapur kecuali dapat menjelaskan makna dan fungsi dari setiap perkakas yang dibawa. Pada akhir pertunjukan, semua perkakas yang dibawa akan diperebutkan oleh seluruh undangan atau penonton.","Adat Istiadat Masyarakat, Ritus, dan Perayaan-Perayaan"
Beksan Bandabaya Pura Pakualaman,"Beksan Bandabaya merupakan seni tari tradisional yang berasal dari Pura Pakualaman istana Kadipaten Pakualaman Yogyakarta, Daerah Istimewa Yogyakarta. Tarian ini diciptakan oleh Sri Paku Alam II yang memerintah antara tahun 1829 hingga 1858. Beksan Bandabaya adalah tarian yang menampilkan tema kegagahan prajurit yang sedang berlatih perang. Tarian ini melibatkan empat penari utama yang merupakan laki-laki berkarakter gagah. Setiap penari utama menggunakan sebuah pedang dan perisai sebagai perlengkapan dalam tarian. Beksan Bandabaya adalah bagian dari ritus peringatan atau acara khusus di Pura Pakualaman. Tarian ini dipergelarkan untuk memperingati pendirian Pura Pakualaman, ulang tahun K.G.P.A.A. Paku Alam, Garebeg Syawal (Hari Raya Idul Fitri), Garebeg Mulud (kelahiran Nabi Muhammad), resepsi pernikahan putri dan putra serta kerabat K.G.P.A.A. Paku Alam, dan kunjungan tamu-tamu istimewa. Melalui tarian ini, tema kegagahan prajurit ditampilkan dengan gerakan yang kuat dan gagah, menggambarkan latihan perang yang dilakukan oleh prajurit. Dalam Beksan Bandabaya, penari utama dibantu oleh empat laki-laki yang disebut ploncon. Ploncon bertugas menyerahkan pedang ke tengah area tari saat diperlukan. Pergelaran tarian ini didukung oleh seperangkat gamelan dan syair. Terdapat juga seorang pemaoskandha yang membacakan maksud pementasan dan pengeprak yang memberikan aba-aba bagi penari dan penabuh gamelan. Para penari utama, ploncon, pengrawit (penabuh gamelan), pemaos kandha, dan pengeprak biasanya berasal dari Abdi Dalem Langenpraja Pura Pakualaman. Pementasan tarian ini dilaksanakan di ruang terbuka di Pura Pakualaman yang bernama Bangsal Sewatama, yang merupakan bangunan yang biasa digunakan untuk pementasan tari tradisional.",Seni Pertunjukan
Beksan Bugis Gaya Yogyakarta,"Beksan Bugis merupakan sebuah seni tari yang lahir pada masa pemerintahan Sultan Hamengkubuwono VII di Keraton Yogyakarta, Daerah Istimewa Yogyakarta. Beksan Bugis adalah tari tradisi Istana Yogyakarta yang diciptakan oleh Patih Danureja V sebagai tarian monumental yang terinspirasi dari prajurit Bugis yang sedang berlatih perang. Pimpinan guru tari Keraton Yogyakarta, Raden Riyo Kertaatmadja, berhasil menginterpretasikan gagasan Patih Danureja V dalam karya seni ini. Sultan Hamengkubuwono VII memberikan pengakuan resmi kepada Beksan Bugis sebagai tarian istana. Tari Beksan Bugis adalah tari yang melestarikan tradisi dan budaya Suku Bugis yang bermigrasi ke Jawa. Tarian ini juga merupakan hasil serapan budaya antara suku Bugis dan tradisi klasik kraton Yogyakarta. Beksan Bugis menggambarkan perpaduan dua budaya yang berbeda, namun dapat disatukan dalam satu tarian. Dari segi visual, tarian ini masih memiliki nuansa tradisi Jawa khas Keraton Yogyakarta, tetapi tema yang diangkat sebenarnya berasal dari etnis Bugis. Beksan Bugis juga memberikan gambaran tentang kekuatan prajurit Bugis yang gagah dan kasar melalui gerakan khasnya. Tari Beksan Bugis menggabungkan unsur-unsur tari tradisional Jawa dan gerakan khusus yang khas Bugis. Beberapa gerakan khas tarian ini adalah ulap-ulap, pepincangan, tabikan, dhadhap dronjong, dan entrog (motif gerak yang digunakan selain gerakan lainnya). Bahan dan alat yang digunakan dalam Beksan Bugis meliputi undheng gilig yang dikenakan di kepala para penari, serta kostum dan aksesoris yang sesuai dengan tema dan karakter prajurit Bugis. Tarian ini umumnya melibatkan penari pria yang menggambarkan prajurit Bugis.",Seni Pertunjukan
Beksan Golek Pucung Kethoprak,"Beksan Golek Pucong Kethoprak merupakan sebuah seni tari putri dari Daerah Istimewa Yogyakarta. Tarian ini diciptakan oleh KGPAA Mangkubumi Putra HB VI, diiringi dengan gending yang diciptakan oleh KRT Wiraguna. Tarian ini menggabungkan seni kerakyatan dan seni istana. Tarian ini berupaya memperkaya sumber penari dari kalangan pelaku seni karawitan serta memperluas partisipasi masyarakat pada masa pergerakan nasional. Istilah ""golek"" berarti mencari makna atau jajaran kebaikan dalam suatu karya Seni Pertunjukan. Golek Pucong Kethoprak awalnya terkesan nakal dan erotis tetapi tarian kini bertransformasi menjadi lebih riang gembira, tanpa kesan erotik, dengan pendekatan estetika klasik. Tarian Beksan Golek Pucong Kethoprak adalah sebagai media perubahan dan pemersatu budaya. Tarian ini membangun hubungan antara seni kerakyatan dan seni istana. Golek Pucong Kethoprak memberikan pesan tentang kegembiraan dan citra diri seorang perempuan Jawa yang penuh semangat. Tarian ini menjadi media bagi pesan-pesan budaya yang memperkuat jati diri bangsa. Tarian Beksan Golek Pucong Kethoprak mengharuskan seorang sinden yang memiliki penguasaan terhadap daya rasa gending. Tarian umumnya ditarikan oleh penari putri dan dapat ditarikan seorang diri. Alat dan bahan yang digunakan dalam tarian ini mencakup kostum, irah-irahan seperti ikat kepala, serta properti seperti tameng. Prosesi pertunjukkan dimulai dengan persiapan para penari, diikuti dengan gerakan-gerakan tari yang menunjukkan kemayuan dan kegembiraan seorang putri. Tarian ini juga mengutamakan penguasaan irama gending oleh penari, serta penguasaan ruang pertunjukan yang luas.",Seni Pertunjukan
Dadung Awuk,"Dadung Awuk adalah teater rakyat dari Daerah Istimewa Yogyakarta yang memadukan lakon, drama, tari, dan iringan musik. Berbeda dengan teater rakyat lain, Dadung Awuk khusus memainkan lakon tentang tokoh Dadung Awuk. Pertunjukan dilakukan di berbagai ruang pertunjukan (halaman rumah, lapangan, pendopo, hingga panggung semi permanen), dan dimulai dengan permainan alat musik untuk menarik perhatian penonton. Fungsi sosial Dadung Awuk adalah sebagai hiburan masyarakat yang memberikan kesenangan dan kegembiraan melalui pertunjukan yang menarik, menjadi media perekat yang memperkuat persatuan dan solidaritas, serta menjadi sistem kontrol sosial dan media penerangan yang efektif bagi masyarakat dengan mengangkat isu sosial atau moral melalui ceritanya. fleksibilitasnya, Dadung Awuk dapat mengakomodir perkembangan zaman tanpa menghilangkan nilai-nilai tradisi yang melekat. Pertunjukan Dadung Awuk memerlukan alat musik dan kostum untuk menunjang pertunjukan. Kostum yang digunakan harus dapat menggambarkan karakteristik tokoh raja, pangeran, putri, panglima, dan prajurit. Dalam hal demografi dan gender, Dadung Awuk dapat diperankan oleh pria maupun wanita. Grup Dadung Awuk Mudatama di Tegalrejo, Tamanmartani, Sleman, merupakan grup yang masih bertahan dengan menggelar pertunjukan pada hari kemerdekaan Indonesia dengan dukungan dari masyarakat setempat.",Seni Pertunjukan
Dakon Jawa Tengah,"Dakon adalah permainan tradisional Jawa Tengah yang membutuhkan keterampilan dalam menangkap dan melempar biji-bijian atau batu ke dalam lubang-lubang pada papan permainan. Papan permainan Dakon biasanya terbuat dari kayu atau bahan lain yang kuat dan dibuat dengan lubang-lubang yang berjejer. Setiap lubang memiliki peran tertentu dalam permainan, dan tujuannya adalah untuk mengumpulkan biji-bijian sebanyak mungkin dari lubang-lubang tersebut. Fungsi sosial Dakon tidak hanya sebagai hiburan semata, tetapi juga memiliki aspek edukatif dalam mengembangkan keterampilan motorik halus dan koordinasi tangan-mata. Permainan ini sering dimainkan oleh anak-anak di lingkungan masyarakat, namun juga dapat menjadi aktivitas yang melibatkan seluruh keluarga atau komunitas. Selain sebagai sarana hiburan, Dakon juga memperkuat interaksi sosial di antara pemain, memupuk rasa kebersamaan, dan meningkatkan keterampilan strategi dalam mengatur langkah-langkah permainan. Dakon melibatkan penggunaan biji-bijian atau batu kecil sebagai bahan utama dalam permainannya. Biji-bijian ini biasanya terbuat dari material alami seperti batu kecil atau biji-bijian tertentu yang dipilih dengan teliti. Selain itu, papan permainan Dakon dibuat dengan lubang-lubang yang memiliki ukuran dan kedalaman tertentu sesuai dengan aturan permainan. Permainan ini tidak memiliki batasan gender dan dapat dimainkan oleh siapa saja, dari anak-anak hingga orang dewasa. Dakon biasanya dimainkan di berbagai lingkungan, termasuk di halaman rumah atau di area terbuka seperti halaman sekolah.",Tradisi dan Ekspresi Lisan
Dhakon Yogyakarta,"Dhakon adalah permainan dari kata “Dhaku” yang berarti mengakui sesuatu miliknya. Permainan ini dimainkan oleh anak-anak di berbagai tempat seperti lantai, halaman, teras, atau meja. Dhakon menggambarkan kehidupan petani dalam usaha mengelola sawah dan menyimpan hasil panen di lumbung. Fungsi dhakon adalah persiapan untuk memulai dewasa, dengan menerapkan nilai ketelitian, keuletan, dan pengolahan rumah tangga yang baik. Dhakon juga menjadi sarana enkulturasi dalam sosialisasi anak-anak karena mengajarkan interaksi sesuai norma, aturan, dan peran sosial yang berlaku dalam kehidupan sehari-hari. Dhakon dimainkan oleh dua pemain (biasanya anak perempuan) dengan alat yang bervariasi seperti dari tembaga atau kayu jati berukir yang sederhana berupa lubang di tanah atau gambaran bulatan biji kapur/batu merah di lantai semen. Isian permainan berupa benik (kancing baju), kecik (biji sawo), kerikil, atau benda lainnya dengan jumlah tergantung pada lubang sawah yang digunakan. Permainan berakhir ketika semua biji berada pada lubang tujuan masing-masing pemain atau salah satu pemain tidak memiliki biji lagi untuk dimainkan. Kini permainan dakon sudah mulai turun popularitasnya.",Tradisi dan Ekspresi Lisan
Gamelan Jawa Gaya Surakarta Dan Yogyakarta,"Gambyong Pareanom adalah sebuah tarian klasik Jawa yang tumbuh dari akar budaya rakyat, mempertemukan ragam gerakan dari tledek atau tayub dengan keunikan nama yang terinspirasi dari seorang penari dan sinden ternama pada abad ke-19, Sri Gambyong. Diawali sebagai tarian rakyat yang luwes dan terbuka, Sri Gambyong mengukir namanya di Keraton Surakarta dengan kekhasan keluwesan gerak dan keindahan suara. Transformasi ini membawa pada pembakuan tarian klasik yang kemudian dikenal sebagai Gambyong Pareanom, diramu oleh Nyi Bei Mintararas dari Pura Mangkunegaran, Solo, pada tahun 1950. Gerakannya merangkum elemen-elemen dari Srimpi, Golek, dan Tari Tayub, diubah menjadi sebuah keseluruhan yang dipertautkan dengan kaidah-kaidah tari kraton. Fungsi sosial dari Tari Gambyong Pareanom telah mengalami evolusi yang signifikan dari hiburan menjadi bagian dari penyambutan tamu kehormatan. Perubahan ini membawa pergeseran dalam frekuensi penyajian, jumlah koreografi, dan jumlah penari. Estetika tarian ini mencerminkan keluwesan, kelembutan, dan kelincahan seorang perempuan yang disokong oleh harmoni antara gerak dan irama kendang yang khas. Penampilan tari ini juga membedakan gaya Mangkunegaran dengan tarian di luar Pura Mangkunegaran, mulai dari kostum hingga gerakan. Kostum tari di dalam Pura Mangkunegaran merujuk pada warna bendera Pura Mangkunegaran, sementara di luar, kostumnya lebih bebas dalam pemilihan warna. Pembuatan tari Gambyong Pareanom melibatkan serangkaian proses yang mencakup pengembangan gerakan dasar dari berbagai sumber tradisional, transformasi tarian dari bentuk rakyat menjadi klasik, serta adaptasi terhadap kebutuhan zaman modern. Tarian ini menampilkan gerakan khas yang diatur dengan cermat, menggambarkan keseimbangan antara kekentalan tradisi dan kreativitas modern dalam pertunjukan seni. Di samping itu, tarian ini juga memiliki nilai-nilai estetika yang kuat dalam menyampaikan kelembutan gerak, pengaturan kostum, dan tema yang menggambarkan kesan kemakmuran dan keindahan. Demografi penari yang membawakan tarian ini berkembang dari lingkungan istana hingga untuk masyarakat luas, menunjukkan adaptabilitasnya sebagai bagian integral dari warisan budaya Jawa.",Seni Pertunjukan
Gerabah Kasongan,"Gerabah Kasongan merupakan Kerajinan Tradisional dari Yogyakarta, yang secara umum mengacu pada wilayah Kasongan, wilayah yang mengembangkan gerabah sebagai komoditas. Rumah-rumah penduduk digunakan sebagai toko dan galeri untuk memamerkan dan menjual gerabah. Gerabah berfungsi sebagai penunjang ekonomi desa Kasongan. Pembuatan gerabah ini dilakukan oleh nenek moyang mereka dan diturunkan secara turun temurun. Dari mulai kebutuhan pribadi, gerabah asal Kasongan sudah mampu memenuhi kebutuhan tinggi untuk dijual ke publik. Bahan baku utama untuk pembuatan gerabah adalah tanah liat, namun karena terbatasnya jumlah dan kualitas tanah liat di sekitar desa, masyarakat Kasongan harus membeli tanah liat dari daerah lain seperti Mangunan, lmogiri, atau Kulon Progo. Proses dimulai dengan memilih tanah liat yang dicampur dengan pasir. Tanah liat tersebut kemudian dicetak atau dibentuk sesuai dengan keinginan, seperti dalam cetakan untuk aksesoris rumah joglo. Setelah dicetak, gerabah tersebut dijemur hingga kering, yang lamanya tergantung pada kondisi cuaca. Setelah proses penjemuran, gerabah akan mengalami pembakaran pada suhu tertentu. Sebelum dibakar, tanah liat dioleskan dengan minyak tanah atau solar agar warnanya menjadi mengkilap. Proses pembakaran membutuhkan waktu antara tiga hingga sembilan jam. Setelah itu, gerabah didinginkan dan siap untuk diangkat. Gerabah asal Kasongan terkenal murah meskipun pembuatannya memakan waktu yang lama.",Kemahiran dan Kerajinan Tradisional
Gerit-Gerit Lancung,"Gerit-gerit lancung adalah permainan tradisional yang sudah berkembang ratusan tahun lalu di daerah Pundungsari, Kecatana Semin, Gunungkidul. Seiring waktu, masyarakat semakin mengenal kembali permainan ini berkat upaya pelestarian dari tokoh-tokoh Kalurahan seperti Sawiyem dan Kahono. Permainan gerit-gerit Lancung biasa dimainkan saat bulan purnama tiba, dan menjadi hiburan untuk ibu-ibu saat para suami meninggalkan rumah untuk berjudi. Namun, permainan ini juga kerap dimainkan oleh anak-anak, dan anak-anak bisa membentuk perasaan sosial dengan menaati peraturan yang berlaku dan bekerjsama dalam kelompok. Alat yang digunakan dalam permainan ini cukup sederhana, yaitu sebuah batu kecil atau kerikil yang diputar oleh pemainnya. Permainan ini tidak memandang status sosial untuk emainkannya, namun lebih sering dimainkan oleh ibu-ibu dan anak.",Tradisi dan Ekspresi Lisan
Golek Lambangsari Yogyakarta,"Golek Lambangsari adalah tarian tradisional dalam budaya Yogyakarta, yang bersala dari kata “lambang” yang berarti simbol, dan “sari” yang berarti inti atau intisari. Dengan demikian, Golek Lambangsari mengandung makna inti kehidupan manusia yang telah mencapai kedewasaan baik secara emosional, psikologis, maupun biologis. Golek Lambangsari adalah hasil karya dari KRT Purbaningrat, seorang empu seni yang memiliki kedudukan tinggi di Keraton Yogyakarta pada masa Sultan HB VII. KRT Purbaningrat adalah seorang penari handal, pencipta tari, dan juga ahli karawitan. Golek Lambangsari lahir bersamaan dengan golek-golek lainnya pada masa Sultan HB VII dan dilakukan di luar tembok istana oleh para kreator seni dan tari. Tarian ini menjadi salah satu pilihan ekspresi bagi penari putri, khususnya remaja putri, dan membantu mempercepat pemahaman gender dalam dunia tari klasik. Selain itu, Golek Lambangsari juga memiliki peran sebagai penyambung komunikasi budaya antara Dalem Kepangeran, masyarakat karawitan, dan otoritas. Proses pertunjukan Golek Lambangsari dimulai dengan penari golek yang mengenakan busana mirip bedhaya dan bergerak dari satu ragam gerakan ke ragam gerakan lainnya dengan keluwesan dan kelembutan yang khas bedhaya atau srimpi.",Seni Pertunjukan
