Arakan Pengantin Kota Pontianak,"Arakan Pengantin merupakan ritus adat yang dilakukan di Kota Pontianak, Kalimantan Barat, sebagai bagian dari prosesi pernikahan. Ritus ini dimulai dengan kedatangan pihak mempelai laki-laki yang diarak berjalan kaki menuju rumah mempelai perempuan. Ritus Arakan Pengantin memperlihatkan dukungan dan pengakuan masyarakat kepada kedua mempelai serta keluarga mereka. Tradisi ini juga memperkuat hubungan keluarga antara pihak mempelai laki-laki dan perempuan, serta seluruh anggota keluarga dan tetangga terdekat. Selain itu, barang-barang hantaran yang dibawa memiliki makna simbolis dalam pernikahan adat Melayu, menunjukkan rasa hormat, kasih sayang, dan persiapan kehidupan berkeluarga. Pada ritus Arakan Pengantin kedua mempelai pengantin, orang tua, sanak keluarga, dan handai taulan ikut serta dengan membawa barang-barang hantaran sebagai simbol ikatan tali kasih sebelum akad nikah dilaksanakan. Ritus Arakan Pengantin menggunakan barang-barang hantaran yang dibawa dalam arak-arakan, seperti jebah berisi sirih, pinang, kapur, tembakau, gambir, bunga rampai, uang asap, perhiasan emas, pakaian, alat-alat dan bahan kecantikan, serta perlengkapan tidur dan mandi. Pengantin laki-laki mengenakan Pakaian Tradisional telok belanga, sementara pengantin perempuan mengenakan baju kurung. Musik tradisional dan doa yang mengiringi arak-arakan memberikan nuansa keagamaan dan kebersamaan dalam acara pernikahan. Musik pengiring dalam arak-arakan biasanya menggunakan alat musik tradisional seperti Tanjidor atau Tar, yang menyertai dengan shalawat Nabi dan doa. Selain itu, dalam beberapa kasus, tarian silat dan pantun juga ikut memeriahkan acara.","Adat Istiadat Masyarakat, Ritus, dan Perayaan-Perayaan"
Berkhatam Al-Qur'an Lingga,"Berkhatam Al-Qur'an merupakan Adat Istiadat masyarakat kabupaten Lingga, Kepulauan Riau. Daerah ini dahulu merupakan pusat Kerajaan Melayu dan juga pusat pembinaan agama Islam. Tradisi ini dilakukan setelah seseorang menyelesaikan pelajaran mengaji atau membaca Al-Qur'an. Pelaksanaan Berkhatam Al-Qur'an seringkali diselenggarakan secara khusus atau dijadikan bagian dari acara lain seperti ritus sunatan atau pernikahan. Berkhatam Al-Qur'an adalah bentuk penghargaan terhadap pengetahuan agama dan sebagai wujud penghormatan kepada guru ngaji yang telah mengajar. Berkhatam Al-Qur'an seseorang yang telah menyelesaikan bacaan Al-Qur'an dan telah memperoleh pengetahuan keagamaan agama Islam. Tradisi ini juga merupakan cara untuk memperkuat keimanan dan ketakwaan dalam kehidupan sehari-hari. Pelaksanaan Berkhatam Al-Qur'an memerlukan seperangkat nasi sekone (nasi besar) yang dihiasi dengan bunga-bunga dan telur diposisikan di tengah atas nasi pulut kuning. Beberapa perlengkapan lainnya adalah Al-Qur'an dan Rehal (penyangga Al-Qur'an), ceremai, payung, sejadah, telekong (mukena), dan kain yang diletakkan di atas paha. Tempat pelaksanaan berkhatam Al-Qur'an umumnya di depan pelaminan di rumah mempelai perempuan. Setelah selesai berkhatam, biasanya dilakukan prosesi pengantar guru ngaji ke rumahnya dengan membawa nasi sekone dan perlengkapan pendukung sebagai ungkapan terima kasih. Selama pelaksanaan, pakaian yang dipakai mengikuti adat Melayu, dengan laki-laki memakai jubah, surban, dan pakaian Melayu, sedangkan perempuan memakai baju kurung Melayu labuh dan bertutup kepala.","Adat Istiadat Masyarakat, Ritus, dan Perayaan-Perayaan"
Bersih Tembuni Lingga,"Bersih Tembuni merupakan salah satu ritus dan ritus kelahiran masyarakat Melayu di kabupaten Lingga, Kepulauan Riau. Ritus kelahiran ini melibatkan penanganan plasenta bayi. Masyarakat Melayu Lingga percaya bahwa plasenta bayi memiliki kekuatan gaib dan perlu diperlakukan dengan hormat. Bersih Tembuni adalah istilah yang digunakan untuk menjelaskan serangkaian tindakan yang dilakukan terhadap plasenta bayi setelah kelahiran. Ritus ini memiliki makna khusus dan dianggap penting dalam tradisi Melayu Lingga. Ritus Bersih Tembuni bertujuan untuk menjaga kesehatan ibu dan bayi serta melindungi mereka dari gangguan fisik dan gaib. Ritus ini membantu memastikan bahwa plasenta dibersihkan dengan benar dan ditempatkan dengan tepat. Dukun kampung berperan penting dalam membantu penanganan plasenta, meskipun ibu melahirkan dengan bantuan tenaga medis modern. Ritus Bersih Tembuni menyiaratkan plasenta bayi harus dibersihkan dengan air mengalir, seperti air sungai atau air yang dialirkan dari tempat penyimpanan. Plasenta kemudian dibaluri dengan campuran garam, asam, dan gula, yang diyakini memiliki efek penyamarkan bau dan melindungi plasenta dari makhluk gaib. Plasenta lalu dibungkus dengan kain putih yang biasanya digunakan untuk mengkafani jenazah. Plasenta dan kainnya kemudian dimasukkan ke dalam sumpit atau topong bersama dengan ""bekal"" seperti paku, buah keras (kemiri), dan pensil. Selanjutnya, plasenta ditanam di sekitar tempat tinggal bayi, seringkali di pojok rumah bagian belakang atau di bawah rumah pohon pisang. Proses penanaman plasenta ini melibatkan penutupan dengan lampu colok atau lilin yang harus tetap menyala selama 7 hari berturut-turut.","Adat Istiadat Masyarakat, Ritus, dan Perayaan-Perayaan"
GENDANG BERARAK,"Gendang Berarak adalah seni musik tradisional asal Melayu Lingga. Gendang berarak terkait dengan pengiringi arak-arakan dalam Adat Istiadat Melayu. Gendang Berarak digunakan dalam perayaan sebagai menjadi pengiring arak-arakan pengantin menuju rumah mempelai Perempuan, pengantar tukang andam, dan upacara khatam Al-Qurâ€™an. Gendang Berarak juga digunakan dalam atraksi silat yang melibatkan gerakan tarian dan irama Gendang. Gendang berarak dimaksudkan untuk menghormati, memuliakan, dan menyemangati pihak yang diarak. Gendang Berarak memiliki lima pemain, yaitu satu pemain serunai jika ada, dua pemain yang menggantungkan gong pada sebatang kayu , dan dua pemain yang menggantungkan gendang pada tengkuk dan menggunakan rotan sebagai pemukul. Jumlah pemain ini melambangkan rukun Islam yang terdiri dari lima perkara. Gendang Berarak bukan hanya sebagai sarana hiburan, tetapi juga memiliki makna dan simbolik dalam tradisi budaya Melayu Lingga.",Seni Pertunjukan
JAPPIN LAMBUT,"Jappin Lambut adalah tarian tradisional Melayu yang berasal dari daerah Sambas, Kalimantan Barat. Pada awalnya tari ini ini dimainkan oleh keluarga kerajaan untuk acara pernikahan, khitanan, atau upacara potong rambut. Namun, seiring penyebaran Islam, tari ini mulai dipentaskan oleh masyarakat umum. Tari Japin Lambut berfungsi menjadi sarana hiburan bagi masyarakat dalam berbagai acara tradisional seperti pernikahan atau upacara potong rambut. Selain itu, melalui syair-syair Islami yang diiringi tari, Jappin Lambut juga berperan dalam menyebarkan ajaran agama Islam dan memberikan pendidikan moral kepada masyarakat. Meskipun kalah bersaing dengan acara televisi, Jappin Lambut tetap melaksanakan kedua fungsi ini. Tari Jappin Lambut ditarikan oleh dua orang laki-laki dengan menggunakan busana khusus, termasuk baju teluk belanga, kain tenun Sambas, dan kopiah hitam. Alat dan bahan yang digunakan dalam tari ini meliputi gambus, gendang, ketipung, dan syair-syair Islami yang dilantunkan oleh pemain gambus. Penampilan tari ini biasanya dilakukan pada siang atau malam hari dalam acara seperti pesta pernikahan atau pindah rumah baru. Musik pengiring tari terdiri dari gabungan instrumen dan vokal, yang diproduksi secara mandiri oleh pemain gambus dan pemain perkusi. Alat musik dan bahan yang digunakan dalam tari ini diambil dari sumber alam sekitar, seperti pohon leban, pohon nangka, dan pohon bilian.",Seni Pertunjukan
KAIN DAGANG LINGGA,"Kain Dagang merupakan Pakaian Tradisional Melayu di Lingga, terutama di masa Kesultanan Lingga-Riau. Memakai Kain Dagang sebagai pelengkap berpakaian merupakan adat dalam masyarakat, terutama ketika beraktivitas di luar rumah, baik untuk laki-laki maupun perempuan. Pada masa lampau, seorang laki-laki Lingga-Riau yang tidak memakai kain dagang, terutama saat beraktivitas di luar rumah, dianggap kurang sopan dan melanggar Adat Istiadat. Penggunaan kain dagang menunjukkan kesopanan dan kesantunan dalam berpakaian, dan juga menjadi penanda identitas budaya dan simbol kebanggaan bagi masyarakat Lingga-Riau. Penggunaan kain dagang juga dilakukan oleh Sultan dan Raja di Lingga-Riau, yang memadukan pakaian modern dengan kain dagang sebagai bagian dari pakaian mereka. Kain dagang memiliki variasi dalam pemakaiannya tergantung pada jenis kelamin dan status pernikahan. Untuk kaum pria yang belum menikah, kain dagang dipakai hingga sejajar dengan atas lutut, sedangkan bagi yang telah berkeluarga, kain dagang labuh hingga bagian bawah lutut sekitar paras tulang kering. Kain dagang untuk kaum pria terbagi menjadi dua jenis, yaitu kain dagang dalam dan kain dagang luar. Kain dagang dalam dipakai di dalam baju, seperti baju kurung Teluk Belanga, sedangkan kain dagang luar dipakai di luar baju, seperti baju kurung cekak Musang. Kain dagang juga dipakai oleh kaum wanita dalam acara majelis upacara adat. Bagi kaum wanita, pemakaian kain dagang melibatkan penggunaan dua kain sarung, di mana kain dagang dipakai sebagai lapisan tambahan yang menutupi baju dan kain sarung. Kain dagang untuk wanita memiliki kepala kain yang menandakan status pernikahan.","Adat Istiadat Masyarakat, Ritus, dan Perayaan-Perayaan"
KAJANG LIPAT,"Kajang Lipat adalah sejenis atap yang digunakan oleh Orang Laut dan Orang Melayu dalam sampan mereka ketika berada di laut. Orang Laut adalah masyarakat yang hidup di kepulauan Lingga, sementara Orang Melayu adalah kelompok etnis yang mendiami wilayah tersebut setelah kedatangan mereka. Orang Laut tinggal di atas perahu kecil, terutama menggunakan sampan, dan kajang lipat digunakan sebagai pelindung dari terik matahari dan hujan. Kajang lipat dapat dipasang dan dilepaskan sesuai kebutuhan, dan dapat dilipat dan disimpan di rumah ketika tidak digunakan. Kajang lipat juga menjadi simbol kehidupan maritim dan mobilitas masyarakat pesisir yang dipertahankan hingga saat ini di Orang Laut dan Orang Melayu. Kajang lipat diproduksi oleh Orang Laut sendiri untuk keperluan mereka sendiri, namun juga dijual kepada Orang Melayu yang membutuhkannya. Hal ini juga menunjukkan bahwa kajang lipat memiliki peran ekonomi dalam komunitas pesisir, di mana keahlian pembuatan dan penjualan kajang lipat menjadi mata pencaharian bagi masyarakat setempat. Kajang lipat dibuat menggunakan bahan-bahan alami seperti daun Mengkuang dan rotan. Daun Mengkuang diikat pada bingkai yang terbuat dari rotan, sehingga membentuk struktur atap yang kuat dan fleksibel. Proses pembuatan kajang lipat melibatkan pemilihan dan pengolahan bahan-bahan tersebut, serta keahlian dalam mengikat dan merangkai daun Mengkuang pada bingkai rotan.",Kemahiran dan Kerajinan Tradisional
Mani' Bunga Setaman Melawi,"Mandi Bunga Setaman atau Kembang Setaman adalah salah satu tradisi atau budaya masyarakat puak Melayu di Kabupaten Melawi, Kalimantan Barat. Tradisi ini dilaksanakan sebagai bagian dari rangkaian pesta perkawinan atau upacara pernikahan yang disebut ""si Bujang Dara."" Mandi Bunga Setaman dilakukan pada hari ketiga (hari ke-3) setelah berlangsungnya pesta perkawinan. Sebelum pelaksanaan upacara, tuan rumah atau empunya hajat mengundang sanak keluarga, kaum Familia, atau undangan lainnya untuk datang ke rumahnya pada malam hari sebelumnya. Mandi Bunga Setaman menjadi ritus untuk mengakhiri rangkaian pesta perkawinan si Bujang Dara dan sebagai wujud ungkapan terima kasih kepada para undangan yang telah hadir. Upacara ini juga menjadi kesempatan bagi keluarga dan kerabat untuk berkumpul kembali setelah rangkaian pesta perkawinan berlangsung. Tema utama dari Mandi Bunga Setaman adalah rasa syukur dan kegembiraan atas pernikahan yang baru saja berlangsung, serta berharap kebahagiaan dan keberkahan untuk kedua mempelai di masa mendatang. Sehari sebelum prosesi Mandi Bunga Setaman, para undangan berkumpul dan membaca Kitab  Albarzanzi (Maulud) secara bergantian, kedua Pengantin duduk bersama dalam majelis tersebut. Pada momen ini pengantin laki-laki diminta untuk membaca surat Patarakul. Jika tidak mampu membacanya, ia bisa menunjuk orang lain atau anggota keluarganya untuk menggantikannya. Di tengah-tengah majelis diletakkan pasu, yaitu wadah berisi air dan berbagai jenis bunga yang dihiasi dengan janur. Air bunga ini akan digunakan untuk prosesi mandi-mandi pada hari berikutnya.","Adat Istiadat Masyarakat, Ritus, dan Perayaan-Perayaan"
Permainan Tangkap Ayam,"Tangkap Ayam adalah sebutan untuk permainan tradisional yang hanya terdapat di Kabupaten Lingga, Kepulauan Riau. Permainan ini dimainkan oleh beberapa orang, seringkali sekitar 4 orang yang dibagi menjadi dua tim atau berpasangan. Tujuan permainan adalah untuk menangkap salah satu anggota tim lawan dan membawanya ke dalam lingkaran/kurungan. Tangkap Ayam berfungsi sebagai hiburan yang dapat membentuk kerjasama dan strategi antaranggota tim, serta menjadi sarana interaksi sosial yang menyenangkan dan mempererat hubungan antaranggota komunitas, karena dapat dimainkan oleh siapa saja dari berbagai usia. Permainan Tangkap Ayam tidak memerlukan alat yang rumit, melainkan hanya memanfaatkan benda sederhana yang dapat disembunyikan di telapak tangan, seperti guli atau batu. Lingkungan di luar ruangan, seperti halaman rumah atau lapangan, seringkali dijadikan tempat untuk bermain. Proses pembuatan lingkaran sebagai kurungan cukup mudah, hanya menggunakan penggaris dari kayu untuk menentukan ukurannya. Tangkap Ayam dapat dilakukan kapan saja sesuai dengan keinginan para pemain, baik pada pagi, siang, atau sore hari, sesuai dengan kesepakatan bersama.",Tradisi dan Ekspresi Lisan
Selembayung Riau,"Selembayung adalah salah satu ragam hiasan khas pada rumah adat Melayu Riau. Rumah-rumah Melayu Riau umumnya berukuran besar dan berbentuk panggung, dan mereka dihiasi dengan beragam bentuk ukiran yang disebut ragam hias. Ragam hias ini sering dijumpai pada berbagai bagian bangunan, mulai dari pintu, jendela, ventilasi, hingga puncak atap bangunan. Selembayung, yang dikenal dengan sebutan 'selo bayuang' dan 'tanduk buang', terletak bersilangan pada kedua ujung perabung bangunan dan diukir dari kayu. Dalam budaya Melayu Riau, Selembayung merupakan Kerajinan Tradisional dalam bentuk ukiran dan ragam hias dari kayu yang digunakan dalam arsitektur tradisional. Selembayung memiliki makna dan simbolik yang mendalam. Pertama, Selembayung membangkitkan 'Cahaya' Rumah, yang artinya menghadirkan keceriaan, kehangatan, dan keindahan di dalam rumah. Kedua, Selembayung adalah lambang keserasian, harmoni dan kebahagiaan dalam rumah tangga. Ketiga, Selembayung juga dianggap sebagai ""Tangga dewa"", melambangkan tempat turunnya para dewa, mambang, akuan, soko, keramat, dan sidi yang membawa keselamatan bagi penghuni rumah. Motif ukiran pada Selembayung melambangkan perwujudan kasih sayang, tahu adat, dan tahu diri. Penggunaan Selembayung juga tidak hanya terbatas pada bangunan rumah, tetapi juga pada pelaminan-pelaminan Melayu, menegaskan kebanggaan akan adat Melayu Riau. Selembayung dibentuk dari kayu dengan teknik ukiran tangan yang membutuhkan keahlian khusus. Motif-motif yang digunakan dalam Selembayung berupa daun-daunan, bunga, burung, dan sebagainya, merupakan olah rupa yang terinspirasi dari alam sekitar.",Kemahiran dan Kerajinan Tradisional
