BAHASA MELAYU SAMBAS,"Bahasa Melayu Sambas adalah dialek bahasa Melayu yang berasal dari daerah Sambas, Kalimantan Barat. Bahasa ini memiliki sejarah yang kaya dan merupakan hasil dari asimilasi antara beberapa suku bangsa di nusantara, seperti Melayu, Dayak, Jawa, dan Bugis. Secara sosial, Bahasa Melayu Sambas berfungsi sebagai alat komunikasi sehari-hari bagi masyarakat Melayu Sambas. Bahasa ini juga memainkan peran penting dalam mempertahankan warisan budaya dan memperkuat hubungan sosial antarwarga. Bahasa Melayu Sambas digunakan dalam berbagai konteks kehidupan sehari-hari, seperti percakapan, nyanyian, dan tarian. Tema dalam Bahasa Melayu Sambas mencakup cerita rakyat, sejarah lokal, nilai-nilai keagamaan, dan kehidupan sehari-hari masyarakat Melayu Sambas.",Tradisi dan Ekspresi Lisan
Berahoi,"Berahoi adalah tradisi lisan berpantun pada saat mengirik padi yang dilakukan oleh masyarakat Melayu Langkat, Sumatra Utara. Tradisi ini melibatkan nyanyian, pantun, dan rentak kaki yang dilakukan secara serentak dan musikal. Berahoi menggambarkan kegiatan system pertanian agraris masyarakat Melayu Langkat, yaitu: tajak, semai, tanam, dan panen. Tradisi ini melibatkan prosesi ritus ngerbah hutan, yang melibatkan pemotongan pohon dan memberikan persembahan kepada penguasa hutan. Berahoi merupakan bagian dari budaya pertanian Melayu yang tak terpisahkan dari kepercayaan dan adat yang berkaitan dengan masyarakat pendukung pertanian. Tradisi ini mengandung ungkapan berbentuk metrik, pantun, pepatah, lagu rakyat, mantra kepercayaan, dan supertisi yang diujarkan secara lisan. Tradisi berahoi memiliki fungsi sosial yang penting dalam pertemuan pemuda dan gadis Melayu, sebagai ajang saling berkenalan dan mencari jodoh. Selama berahoi, pemuda dan gadis Melayu berinteraksi melalui permainan berbalas pantun, yang menjadi cara komunikasi dan peluang untuk mengajukan hati. Tradisi berahoi juga melibatkan bergotong-royong dalam mengirik padi dan membersihkan bulir-bulir padi. Tradisi berahoi menggunakan rokok daun beserta tembakau yang dilemparkan oleh pemuda kepada anak gadis Melayu, yang kemudian digulung oleh gadis tersebut. Rokok yang sudah digulung dikembalikan kepada pemuda sebagai tanda tertarik dan kesepakatan untuk melanjutkan hubungan percintaan. Selain itu, terdapat juga bahan-bahan ramuan dan persembahan yang disiapkan dalam ritus pemotongan hewan dan penotauan. Tradisi berahoi melibatkan kaum ibu dalam mengambil kayu api, sementara anak-anak beru berperan penting dalam mengundang pemuda dan gadis Melayu untuk mengikuti tradisi ini. Tradisi berahoi biasanya dilaksanakan di halaman rumah dengan melibatkan seluruh keluarga dan masyarakat setempat.",Tradisi dan Ekspresi Lisan
Dambus,"Dambus atau Gambus merupakan jenis musik yang diperkirakan mulai berkembang pada abad ke-19 Masehi bersamaan dengan kedatangan imigran Arab dari Hadramaut dan Yaman Selatan ke Nusantara. Musik ini bertahan dan bertumbuh dengan bantuan pemerintah hingga menyatu dengan kehidupan masyarakat Bangka Barat dan Provinsi Bangka Belitung secara umum. Dambus menggunakan syair kasidah dengan lirik pujian kepada Allah dan Rasul, sehingga musik ini kerap digunakan sebagai sarana dakwah oleh para imigran Muslim hingga diwariskan oleh para ulama. Seiring berjalanya waktu, musik Dambus dikembangkan melalui kegiatan kesenian dan kerap menjadi pengiring dalam berbagai acara masyarakat seperti pernikahan dan upacara adat. Alat yang digunakan dalam pertunjukan musik Dambus meliputi gendang dan dambus (alat petik). Musik Dambus diiringi oleh lagu khas Melayu dan tarian Incak khas Bangka Belitung. Keunikannya berasal dari dawai dambus yang berbeda dari jenis musik lainnya.",Seni Pertunjukan
Dodoi Anak Siak,"Dodoi anak Siak adalah tradisi lisan yang masuk ke dalam sastra lisan Melayu yang berfungsi sebagai lagu pengantar tidur untuk anak-anak. Dodoi dinyanyikan dengan suara lembut, merdu, mendayu-dayu, sambil mengayun atau membuai anak dalam ayunan atau gendongan. Lagu dalam dodoi ini berisi pesan agama dan nasehat moral. Selain sebagai lagu pengantar tidur, Dodoi juga berperan sebagai media komunikasi yang mendekatkan orang tua dan anak. Melalui lagu ini, orang tua mengekspresikan kasih sayang yang mengajarkan nilai berkaitan kehidupan sehari-hari. Lagu ini juga menjadi sarana mengajarkan Bahasa kepada anak sejak usia dini. Alat yang digunakan adalah suara nyanyian yang lemah lembut, irama yang lembut, dan gerakan mengayun dengan lirik-lirik sederhana dalam lagu. Biasanya kegiatan ini dilakukan oleh ibu atau anggota keluarga untuk menidurkan anak terutama anak usia dini yang belum mengeri Bahasa formal.",Tradisi dan Ekspresi Lisan
Dul Mulok Belitong,"Dul Mulok adalah sebuah seni teater asal Belitung yang muncul pada tahun 1940-an berkat ide seorang seniman bernama Tok Juhek/Tok Jahè, yang ahli dalam seni besaer dan ingin menggabungkan syair lama ke dalam sebuah drama. Ide tersebut direspon antusias oleh sanak saudara dan sahabat-sahabatnya, dan mereka membentuk sebuah grup teater dengan 60 orang pemain. Pertunjukan pertama kali yang mereka sajikan adalah kisah Abdul Mulok, dan dari situlah kesenian ini kemudian dikenal sebagai Dul Mulok. Kesenian Dul Mulok kemudian dikembangkan oleh Kek Lang dan Kek Narek, anak-anak dari Tok Juhek/Tok Jahè, yang menjadikan Desa Parang Bulo dan Desa Kembiri sebagai tempat pengembangannya. Fungsi Du Mulok adalah sebagai control sosial karena sarat akan petuah, nasehat, dan kritik sosial berlandaskan kearifan lokal. Tema yang disajikan berkisar antara moral, ketaatan terhadap Sang Pencipta, kedermawanan, dan kesederhanaan hidup berumah tangga. Dul Mulok juga menjadi sarana menjaga tradisi dan kearifan lokal di kalangan Masyarakat, dan juga berfungsi sebagai penguat hubungan sosial Masyarakat Belitung. Dul Mulok menggunakan syair lama berbahasa Belitung sebagai sumber cerita, dan melibatkan sekitar 25 aktor dalam pementasannya. Jika personal tidak lengkap, satu orang dapat memerankan beberapa peran untuk mengisi kekosongan. Dul Mulok menggunakan kostum adat Melayu Belitung, dan gendang dan biola sebagai alat music. Dul Mulok melibatkan akting, tarekh, dan nyanyian, sehingga kesenian ini dianggap tidak mudah. Senior yang masih aktif dalam kesenian Dul Mulok adalah Bapak Sar’ie, Bapak Sahdi, dan Bapak Sahminan. Namun, kurangnya apresiasi dan dukungan dalam hal pembinaan, fasilitas, dan pendanaan dapat mengancam kelangsungan kesenian tradisional ini di Belitung.",Tradisi dan Ekspresi Lisan
Gazal,"Ghazal adalah jenis musik orkestra melayu asal Kepulauan Riau, dengan asal-usul irama musik padang pasir atau timur Tengah. Kemungkinan besar musik ini menyebar melalui pedagang dari Timur Tengah ke daerah Johor, Malaysia, dan kemudian terus berkembang di Kepulauan Riau, seperti Penyengat, Tanjung Balai Karimun, Tanjung Batu, dan Batam. Musisi pertama yang memperkenalkan musik Ghazal di daerah tersebut adalah Haji Kenai Muse atau yang lebih dikenal dengan nama Pak Lomak, yang berasal dari Johor Baru. Gazal mulai dikembangkan pada zaman Kerajaan Melayu, dan kerap tampil dalam acara resmi Kerajaan. Perbedaan yang mencolok antara lagu-lagu Melayu dengan Ghazal terletak pada irama dan nuansa yang ditandai oleh pukulan tabla yang mengalir dengan ritme yang cepat dan lambat. Musik Ghazal memiliki kesan yang berbeda dari lagu-lagu Melayu dengan irama joget, iaong, langgam, maupun zapin. Alat yang digunakan dalam pertunjukan Gazal adalah syorenggi (alat musik gesek), sitar (alat musik petik), harmonium (alat musik tiup), dan tabla (alat musik pukul). Syorenggi adalah alat musik yang terbuat dari kayu dengan tiga tali yang menghasilkan suara saat digesek. Sitar memiliki bentuk yang mirip dengan gitar, tetapi pada bagian pangkalnya memiliki bentuk bulat menyerupai buah labu. Harmonium adalah alat musik yang berbentuk kotak dengan tombol tuts nada seperti piano, namun cara memainkannya membutuhkan pompaan udara. Tabla adalah alat musik pukul berbentuk bundar dengan bagian atas yang terbuat dari kulit yang dijahit dan berfungsi sebagai pengatur tinggi rendah nada.",Tradisi dan Ekspresi Lisan
Gondang Borogong,"Gondang Borogong adalah kesenian tradisional khas rokan Hulu. Kesenian ini bermula dari acara peresmian raja Rokan bersama sembilan raja dan dua sultan. Gondang Borogong biasa digunakan untuk mengiringi peristiwa budaya seperti berolek, khitanan, gelanggang, dan upacara pengantin. Gondang Barogong juga memiliki nilai Sejarah, mistis, dan karakter lokalitas melalui lagu yang dimainkan. Alat musik utamanya adalah calempong, yang terbuat dari campuran logam berbagai jenis seperti besi, tembaga, perunggu, suasa, emas, dan timah. Selain itu, terdapat dua gendang yang digunakan, yaitu gendang polalu yang berperan sebagai pemain lagu dan gendang poningkah yang berfungsi sebagai pemain pengiring. Gendang ini dimainkan menggunakan pemukul dari rotan sogo. Dalam penampilannya, Gondang Borogong biasanya melibatkan dua orang pemain, yaitu tukang calempong dan tukang tingkah, yang biasanya merupakan perempuan. dari Gondang Borogong juga melibatkan penggunaan pantun atau pengantar lagu sebagai petunjuk dalam penampilan musiknya.",Seni Pertunjukan
Joget Dangkong,"Joget Dangkong adalah Seni Pertunjukan tradisional yang berkembang dalam masyarakat Melayu di Kepulauan Riau, terutama pada masa pemerintahan kerajaan Melayu Bentan, Riau-Lingga, hingga pada tahun 1960-an. Joget Dangkong menjadi bagian penting dalam upacara adat Melayu, seperti pernikahan, penyambutan tamu penting, dan perayaan keagamaan. Joget Dangkong juga berfungsi sebagai hiburan, sarana rekreasi, dan sarana ekspresi kegembiraan, dan kebersamaan masyarakat. Alat musik yang digunakan dalam pertunjukan joget dangkong telah mengalami perubahan dan penambahan dari masa ke masa. Pada awalnya, kesenian ini menggunakan empat alat musik tradisional, seperti gong, gendang tambur, gendang bebane, dan bjole tempurung. Namun, seiring perkembangan zaman, joget dangkong juga mengadopsi beberapa alat musik modern seperti akordeon, biola, marwas, gitar elektrik, dan organ tunggal. Perkembangan ini membawa variasi dan nuansa baru dalam musik yang mengiringi tarian joget dangkong. Meskipun demikian, alat musik tradisional masih tetap digunakan untuk menjaga keaslian dan keunikan dari kesenian ini.",Seni Pertunjukan
Kelong Batti'-Batti',"Kelong Batti'-Batti' adalah sebuah kesenian tradisional dari masyarakat Kabupaten Kepulauan Selayar, tepatnya di Daerah pesisir pantai yang disebut kampong (kampung) Padang. Kesenian ini muncul pada masa penyebaran agama Islam oleh pedagang Melayu bernama Datok Ri Bandang. Secara harfiah, kelong berarti nyanyian, dan batti-batti diambil dari kata ambatti yang berarti memetik. Kesenian ini merupakan lantunan nyanyian berbahasa Selayar yang dinyanyikan oleh laki-laki dan perempuan secara bersahut-sahutan atau berbalas pantun secara spontan. Kelong Batti'-Batti' merupakan Seni Pertunjukan yang menggabungkan tradisi lisan di dalamnya. Kesenian ini menjadi hiburan yang dipertunjukkan pada acara pernikahan, sunatan, atau kegiatan seni budaya yang diselenggarakan oleh pemerintah . Lirik-lirik kelong batti-batti mengandung nasehat bijak, moral dan spiritual, hubungan kisah asmara, dan terkadang humor. Kesenian ini melibatkan alat musik gambus dan rebana sebagai pengiring  musik yang merupakan pengaruh campuran budaya Melayu  dan Islam. Penampilan kesenian ini melibatkan dua penyanyi perempuan dan dua penyanyi laki-laki, serta dua pemain gambus dan dua pemain rebana. Pemain gambus juga dilengkapi dengan cermin di ujung senar untuk memungkinkan mereka melirik penyanyi perempuan tanpa harus bertatap muka langsung, mengingat bertatap muka dianggap tabu. Kostum untuk kesenian ini disesuaikan dengan acara yang diadakan dan sering kali menggunakan pakaian adat.",Tradisi dan Ekspresi Lisan
Koba,"Koba merupakan tradisi lisan yang diwariskan secara turun-temurun berbentuk cerita yang disampaikan dengan gaya dinyanyikan. Koba telah ada sejak akhir abad ke-19 dan hingga pertengahan abad ke-20 telah menjadi seni hiburan yang sangat ditunggu-tunggu oleh masyarakat. Pengkoba, yang merupakan orang yang membawakan Koba, biasanya akan menampilkan Koba pada berbagai acara atau perayaan. Ada juga yang membawanya ke kampung-kampung dan memainkannya jika ada yang memanggil. Koba dapat ditampilkan baik oleh laki-laki maupun perempuan. Sebagai tradisi lisan Koba menyampaikan cerita rakyat dan hiburan kepada khalayak pendengar. Koba berperan melestarikan dan mempertahankan budaya. Melalui Koba, masyarakat dapat menikmati cerita-cerita yang menghibur dan meriah. Profesi pengkoba juga menjadi salah satu sumber mata pencaharian . Koba sering disampaikan  dengan menggunakan alat musik pengiring bernama babano. Namun, ada juga pengkoba yang memilih untuk tidak menggunakan musik pengiring. Penggunaan musik pengiring dalam Koba tergantung pada preferensi dan keahlian masing-masing pengkoba.",Seni Pertunjukan
Krinok,"Krinok adalah sebuah seni vokal tradisional yang dimiliki oleh masyarakat Melayu di Kecamatan Rantau Pandan, Kabupaten Muara Bungo. Seni krinok telah ada sejak masa pra sejarah dan masih terus dilestarikan hingga saat ini. Pada awalnya, krinok dilantunkan oleh kaum laki-laki saat mereka bekerja di ladang atau mencari kayu di hutan. Namun, seiring waktu, krinok juga menjadi hiburan wajib bagi muda-mudi yang ikut serta dalam kegiatan gotong royong di sawah atau ladang. Seni musik Krinok berguna sebagai hiburan melepas lelah , untuk mengusir binatang buas, dan juga sebagai sarana untuk menarik hati perempuan  yang ingin dinikahi. Krinok sering dimainkan saat berselang, pesta pernikahan, dan kegiatan lainnya. Selain itu, krinok juga dijadikan musik pengiring tari tauh yang merupakan tarian pergaulan muda-mudi. Pada awalnya, krinok merupakan seni vokal yang sederhana, hanya berupa puisi lama yang dinyanyikan dengan nada tinggi tanpa alat musik. Namun, dalam perkembangannya, krinok mulai dipadukan dengan alat musik. Salah satunya adalah kelintang kayu, yang terbuat dari potongan kayu ngkring beluka yang sudah dikeringkan. Kelintang kayu ini memiliki enam potongan kayu yang disusun di atas kotak kayu persegi panjang dengan alas dari ban bekas. Alat musik lainnya yang digunakan dalam pengiring krinok adalah gong, gendang panjang, dan biola.",Seni Pertunjukan
