Gasing Lingga,"Gasing Lingga adalah permainan asal Kabupaten Lingga, Kepulauan Riau. Gasing Lingga memiliki berbagai jenis, antara lain gasing pemangkah (pemukul), gasing pemasang (penahan), dan gasing uri (beraje). Gasing Lingga umumnya dimainkan oleh anak laki-laki, remaja, dan orang dewasa, baik sebagai hobi, latihan, maupun dalam pertandingan kelompok. Fungsi sosial dari permainan Gasing Lingga adalah sebagai sarana interaksi dan komunikasi antara pemainnya. Permainan ini memungkinkan pemain untuk berlatih keterampilan motorik dan strategi, serta membangun kerjasama dan persaingan sehat dalam pertandingan. Tema dalam permainan gasing Lingga cenderung bersifat kompetitif, di mana pemain berusaha mempertunjukkan kemampuan dalam memukul dan menghantam gasing lawan. Permainan ini juga dapat menjadi media pelestarian budaya dan tradisi lokal Kabupaten Lingga. Alat yang digunakan untuk membuat gasing lingga adalah parang, kapak kecil, pisau, bubut/larik, pahat, kikir, dan gergaji. Bahan yang digunakan adalah kayu tempinis, saga, atau asam yang keras, berserat, dan liat. Proses pembuatan gasing Lingga dimulai dengan mempersiapkan batang pohon yang akan dijadikan gasing, kemudian mengukur dan membentuk kayu sesuai selera dan keinginan, biasanya dengan bentuk awal berupa bulatan memanjang dan mengerucut.",Tradisi dan Ekspresi Lisan
Kotik Adat Kampar,"Kotik Adat merupakan upacara penting dan sakral bagi masyarakat Ocu di Pulau Godang, Kecamatan XIII Koto Kampar. Pelaksanaan Kotik Adat memiliki tujuan utama untuk melestarikan adat dan mempertebal iman keagamaan. Proses penobatan Kotik Adat hanya melibatkan satu calon saja, dan jika terdapat dua atau lebih calon, mereka harus dinobatkan pada waktu atau tempat yang berbeda. Upacara Kotik Adat berperan melestarikan dan menjaga status sosial. Upacara ini juga berfungsi sebagai upacara tolak bala untuk menjaga keselamatan dan kesejahteraan masyarakat. Terakhir, upacara ini juga memiliki peran spiritual dalam memperkuat pertaubatan dan penyucian diri bagi si calon Kotik Adat. Pada zaman dahulu, untuk mencapai kesakralan upacara penobatan ini dilaksanakan sebagai upacara tersendiri pada hari pertama bulan Syawal setelah sholat dzuhur. Namun, dalam perkembangannya saat ini, upacara Kotik Adat selalu diselaraskan dengan acara halal bihalal dusun atau nogori. Persiapan pelaksanaan upacara penobatan sudah dilakukan dengan teliti dan jauh-jauh hari sebelumnya. Calon kotik membutuhkan waktu untuk mempelajari irama membaca teks khutbah adat. Proses persiapan juga melibatkan maimbau soko, yaitu tahapan dimana orang tua, ninik mamak, dan anggota keluarga matrilineal calon kotik berkumpul untuk memberitahukan kepada warga persukuan tentang rencana penobatan Kotik Adat. Setelah ninik mamak suku menyetujui, calon kotik didampingi oleh seorang guru yang akan mengajarkan irama membaca khutbah adat. Upacara penobatan kotik adat dilakukan dengan mengarak calon Kotik Adat bersama-sama menuju tempat upacara dengan menggunakan payung bubu. Setelah semua pita digunting, calon Kotik Adat membacakan khutbah adat dengan irama yang telah dipelajari sebelumnya.","Adat Istiadat Masyarakat, Ritus, dan Perayaan-Perayaan"
LEGENDA PATAHNYA GUNUNG DAIK,"Legenda patahnya gunung Daik merupakan salah satu cerita rakyat yang berasal dari pulau Lingga. Gunung Daik memiliki ketinggian sekitar 1.165 m dan menjadi kebanggaan orang Melayu pulau Lingga. Terdapat berbagai versi legenda tentang patahnya gunung Daik, salah satunya melibatkan pertarungan antara Datuk Kaya Kuning dan Mak Yah, seorang wanita penguasa Lingga. Setelah pertarungan, satu puncak gunung patah dan menjadi pulau Pandan. Legenda ini juga mengaitkan patahnya gunung Daik dengan pertanda kematian Datuk Kaya Montel, seorang penguasa Lingga dan raja Orang Laut. Tradisi lisan kisah patahnya gunung Daik adalah wujud hubungan erat masyarakat Lingga dengan alam dan kelestarian lingkungannya. Legenda patahnya gunung Daik menempatkan gunung Daik sebagai identitas kebanggaan sehingga mengabadikannya sebagai lambang daerah Kabupaten Lingga. Legenda ini mengandung pesan moral tentang kesaktian, janji, dan ketaatan terhadap wasiat orang tua atau pemimpin. Dalam Legenda patahnya gunung Daik disebutkan, gunung Daik memiliki tiga puncak yang masing-masing diberi nama gunung Lingga, pejantan, dan cindai menangis. Dikisahkan bahwa pulau Pandan yang terletak di sebelah barat pulau Lingga adalah hasil dari patahan cabang cindai menangis yang jatuh ke laut. Pulau Pandan yang terbentuk dari patahan puncak gunung Daik menjadi salah satu contoh bagaimana cerita rakyat menghubungkan fenomena alam dengan peristiwa-peristiwa penting dalam kehidupan manusia. Selain itu, cerita rakyat ini juga berhubungan dengan kepercayaan tentang tempat kediaman orang bunian, yang diyakini mendiami gunung Daik.",Tradisi dan Ekspresi Lisan
Malam Tari Inai,"Malam Tari Inai adalah sebuah upacara tradisional yang berhubungan dengan Adat Istiadat perkawinan di masyarakat Melayu Timur di kabupaten Tanjung Jabung Barat. Upacara ini telah ada sejak zaman dahulu dan masih dijaga dan dipraktikkan oleh masyarakat setempat hingga saat ini. Malam Tari Inai dihadiri oleh dua keluarga yang menikah, yakni keluarga pengantin pria dan keluarga pengantin wanita, serta undangan lainnya. Tujuan dari Malam Tari Inai adalah untuk menyatukan dua keluarga besar dalam satu kekerabatan, memperkenalkan satu sama lain, dan memberikan doa serta tolak bala kepada kedua mempelai. Adat Istiadat Malam Tari Inai menjadi momen penting perkenalan dan persatuan dua keluarga besar pengantin. Ini menggarisbawahi pentingnya silaturahmi dan kerjasama antar-keluarga dalam masyarakat Melayu Timur. Selain itu, Malam Tari Inai juga menjadi ajang untuk memberikan doa restu bagi kedua mempelai, yang bertujuan untuk membawa keberuntungan dan keselamatan dalam kehidupan pernikahan mereka. Rangkaian acara mengandung simbol kesucian, kebahagiaan, dan kehidupan yang penuh harapan. Dalam Malam Tari Inai ada beberapa alat dan bahan yang digunakan selama upacara tersebut. Tepung tawar dibuat dari beras kuning atau bertih (beras/ketan yang digongseng dan ditumbuk), daun inai yang sudah ditumbuk, serta daun ganda rusa yang digunakan untuk memercikkan air. Tepung tawar ini akan diberikan oleh para ketua adat, orang tua, dan orang yang dituakan kepada kedua mempelai. Selain itu, tarian inai menjadi bagian penting dari upacara ini, di mana para pendekar laki-laki dan perempuan akan menampilkan tariannya berpasangan dengan menggunakan kembang lilin sebagai propertynya. Musik kelintang perunggu mengiringi seluruh prosesi upacara ini.","Adat Istiadat Masyarakat, Ritus, dan Perayaan-Perayaan"
Menyalo Sagu,"Menyalo Sagu adalah proses pengolahan sagu kotor oleh masyarakat Melayu di pabrik yang beroperasi di sekitar Kepulauan Riau. Fungsi sosial Menyalo Sagu adalah sumber pendapatan bagi masyarakat Melayu di Kepulauan Riau yang bekerja di pabrik pengolahan sagu dan melestarikan nilai kebersihan tradisional dalam proses produksi bahan pangan di pabrik. Proses menyalo sagu menggunakan peralatan tradisional berupa tong, saluran papan, dan guni untuk mengumpulkan sagu bersih. Sagu kotor dimasukkan ke dalam tong dan dicampur dengan air. Selanjutnya, sagu diaduk merata, kemudian diciduk dan dialirkan ke dalam saluran papan. Sagu bersih akan mengendap di dasar salur, sedangkan air yang mengalir di ujung saluran menjadi limbah yang disebut dengan bidat. Setelah proses penyaloan, sagu yang mengendap di dasar salur menjadi sagu bersih yang siap pakai. Sagu bersih ini dapat diambil untuk dijual atau diolah menjadi sagu kering.",Pengetahuan dan kebiasaan perilaku mengenai alam dan semesta
Nirok Nangok,"Nirok Nanggok adalah sebuah ritus adat yang telah ada selama lebih dari 100 tahun di Melayu Belitong, Kepulauan Bangka Belitung. Nirok Nanggok merupakan gabungan dari dua alat tangkap ikan tradisional, yaitu Tirok (menyerupai tombak) dan Tanggok (tangguk), yang digunakan oleh masyarakat dalam menangkap ikan selama mereka berladang. Nirok Nanggok berfungsi sebagai wadah untuk menyatukan masyarakat dalam menjaga kelestarian alam. Ritus ini menjadi cara untuk mengingatkan dan melestarikan hubungan mereka dengan lingkungan alam sekitarnya. Proses pelaksanaan Nirok Nanggok melibatkan dua alat tangkap ikan tradisional, yaitu Tirok dan Tanggok. Tirok menyerupai tombak yang digunakan untuk menangkap ikan, sedangkan Tanggok atau tangguk adalah jala ikan. Prosesi adatnya melibatkan masyarakat yang beramai-ramai, namun dalam kehidupan sehari-hari, Nirok dan Nanggok dapat dilakukan oleh beberapa orang saja. Aturan adat harus diikuti, terutama mengenai tempat di mana Nirok dan Nanggok boleh dilakukan agar menjaga kelestariannya.",Tradisi dan Ekspresi Lisan
Pacu Jalur,"Pacu Jalur adalah lomba dayung tradisional khas dari daerah Kuantan Singingi (Kuansing) di Riau. Lomba ini menggunakan perahu kayu gelondongan yang oleh masyarakat setempat sering disebut ""jalur"". Pacu Jalur telah menjadi bagian dari kalender pariwisata nasional di Riau dan diadakan oleh masyarakat Kuansing selama beberapa tahun terakhir. Pacu Jalur berfungsi sebagai perayaan masyarakat untuk menunjukkan kebersamaan dan kegembiraan, ajang promosi pariwisata daerah, menarik banyak wisatawan untuk menyaksikan keunikan dan meriahnya acara ini. Proses pelaksanaan Pacu Jalur, perahu yang digunakan berukuran besar dan didayung oleh tim pemandu yang terlatih. Lomba ini melibatkan beberapa perahu yang berlomba berhadapan dalam gaya dayung khas tradisional. Proses latihan dan persiapan untuk acara ini tentu memerlukan kesabaran dan ketekunan dari masyarakat setempat.",Tradisi dan Ekspresi Lisan
Pantun Melayu,"Pantun Melayu adalah sebuah bentuk puisi tradisional yang memiliki ciri khas tersendiri dalam kesusastraan Melayu. Kehadirannya dapat ditarik sejak abad ke-16 M dan ke-17 M, tercatat dalam teks syair tasawuf Abdul Jamal serta risalah tasawuf Hamzah Fansuri Asrar al-Arifin. Awalnya disebut dengan berbagai varian seperti bandun, bantun, dan lantun. Pantun dikenal sebagai bentuk puisi yang lazim diucapkan secara spontan untuk menyindir, bercanda, dan menghibur diri, dengan pola sajak a b a b pada umumnya. Fungsi sosial dari pantun Melayu sangat beragam, tercermin dari berbagai jenisnya. Pantun digunakan dalam konteks anak-anak, cinta, adat istiadat, teka-teki, pujian, nasehat, agama, dan cerita. Setiap jenisnya memiliki tujuan dan pesan tersendiri, mulai dari pendidikan anak-anak dengan pantun anak-anak hingga penekanan pada adat dan budi pekerti dalam pantun nasehat. Tema pantun juga melibatkan citra alam, penggambaran kehidupan sehari-hari, hingga pemaknaan filosofis yang mendalam tentang manusia, Tuhan, dan hubungannya dengan alam. Dalam penampilannya, pantun Melayu menggunakan citraan alam dan kehidupan sehari-hari sebagai bahan penyusunannya. Pada contoh pantun yang diberikan, digambarkan citraan alam seperti bukit, kolam, angin, dan ombak yang dikaitkan dengan gagasan-gagasan yang lebih dalam, seperti pemahaman akan hakikat diri dan Tuhan. Gender tidak menjadi batasan dalam penyusunan atau pengucapan pantun, namun demikian, isi pantun sering kali menggambarkan hubungan, perasaan, dan tindakan yang terkait dengan keseharian hidup masyarakat pada masa itu.",Tradisi dan Ekspresi Lisan
Permainan Ambong Gile,"Permainan Ambong Gile atau dikenal dengan nama Tari Ambung, merupakan permainan tradisional yang langka dan hanya dapat ditemukan di Kabupaten Lingga, Kepulauan Riau. Permainan Ambong Gile berfokus pada penggunaan roh atau kekuatan gaib yang diyakini masuk ke dalam ambung saat mantra dibacakan. Permainan Ambong Gile berfungsi sebagai sarana hiburan dan penghormatan terhadap kekuatan mistis. Proses permainan Ambong Gile dilakukan oleh dua hingga tiga orang laki-laki yang sudah dewasa, dan memerlukan ambung atau lukah sebagai alat tradisional yang diyakini memiliki kekuatan magis. Selain itu, diperlukan setanggi, dupa, atau kemenyan untuk membakar dan menciptakan nuansa ritualistik selama permainan. Talam tembaga atau aluminium digunakan untuk memegang dan membawa ambung selama permainan berlangsung. Permainan ini memiliki persyaratan khusus, di mana para pemain harus laki-laki yang sudah dewasa, dan permainan dipimpin oleh seorang Bomo atau dukun.",Tradisi dan Ekspresi Lisan
Seloko Melayu Jambi,"Seloko Melayu Jambi adalah bagian dari genre puisi tradisi lisan Melayu dari wilayah Jambi. Sebagai warisan lisan turun temurun, seloko mengandung nilai-nilai, ajaran, dan petunjuk bagi kehidupan sehari-hari dalam masyarakat Melayu. Puisi seloko merefleksikan kekayaan budaya dan lingkungan sekitar yang dipahami dan dihargai baik oleh penutur maupun penerima pesan. Dalam seloko Melayu Jambi, terdapat prinsip-prinsip adat dan Adat Istiadat Jambi yang diungkapkan melalui ungkapan-ungkapan berbentuk pantun atau syair. Seloko Melayu Jambi merupakan media edukasi nilai-nilai moral, dan etika kepada generasi muda. Selain itu, Seloko juga menjadi hiburan dan ekspresi seni bagi masyarakat, di mana mereka dapat mengekspresikan cerita-cerita rakyat dan nilai-nilai kehidupan melalui ungkapan pantun yang indah dan berirama. Tema dalam seloko Melayu Jambi seringkali mencakup nilai-nilai rendah hati, sikap menghormati orang lain, gotong royong, serta pelestarian lingkungan sekitar dengan hidup harmonis dengan alam. Dalam penampilan dan pelaksanaan seloko Melayu Jambi, tidak ada batasan khusus mengenai alat dan bahan tertentu. Puisi seloko lebih menitikberatkan pada ungkapan lisan melalui pantun atau syair yang diucapkan dengan ritme dan irama khas.",Tradisi dan Ekspresi Lisan
Tari Dulang,"Tari Dulang adalah tarian tradisional yang berasal dari masyarakat Melayu Langkat, Sumatera Utara. Meskipun tanggal pasti kemunculannya tidak diketahui, tarian ini mengalami kebangkitan kembali sejak tahun 1986. Pada masa kesultanan Langkat tarian ini digunakan untuk mengekspresikan rasa syukur terhadap Allah SWT, terutama setelah masa panen, dan sebagai permohonan untuk menolak bencana. Pada awalnya, tarian ini hanya ditampilkan di dalam ruangan kesultanan, tetapi sekarang sudah umum ditarikan dalam berbagai acara budaya, termasuk dalam pesta pernikahan. Kini keberadaan tarian ini terancam punah karena kesulitan dalam mencari generasi penerus yang tertarik dengan budaya tradisional. Tari Dulang adalah seni tari yang berhubungan erat dengan olahraga beladiri pencak silat. Tari Dulang dahulu merupakan ekspresi rasa syukur di masa panen, dan permohonan menolak bala. Kini Tari Dulang juga menjadi hiburan terutama dalam acara pesta perkawinan adat. Tarian Dulang memiliki persyaratan khusus bagi para penarinya, yaitu mereka harus menguasai seni bela diri pencak silat, khususnya silat Melayu asli. Gerakan dalam tarian ini mencerminkan gerakan silat yang lemah gemulai, seperti gerakan mengupas bengkuang yang diambil dari seni bela diri. Selebihnya, tidak ada ketentuan khusus mengenai jurus silat yang harus ditarikan. Tari Dulang biasanya ditarikan oleh sekelompok laki-laki atau perempuan, dengan jumlah penari yang ganjil, minimal tiga orang. Properti yang digunakan dalam tarian ini meliputi dulang, yang melambangkan dunia, serta piring, dan lilin sebagai pelengkap pertunjukan. Musik pengiring tarian ini menggunakan alat musik Melayu tradisional seperti gendang, accordion, dan biola.",Seni Pertunjukan
Tari Kedidi,"Tari Kedidi merupakan tarian yang berasal dari Pulau Bangka di Kepulauan Bangka Belitung. Tarian ini merepresentasikan gerakan burung Kedidi yang sering terlihat saat penduduk desa sedang membuka ladang atau menunggu musim panen. Pada malam hari, setelah selesai bekerja penduduk desa di Pulau Bangka, Kepulauan Bangka Belitung menghibur diri dengan memainkan musik Dambus sambil menari Kedidi. Tari Kedidi berfungsi sebagai sarana hiburan dan ekspresi kegembiraan bagi penduduk desa di Pulau Bangka. Tarian ini dilakukan untuk melepas lelah setelah bekerja seharian dan menciptakan kegembiraan dalam kehidupan sehari-hari. Proses pertunjukan Tari Kedidi menggunakan musik Dambus sebagai pengiring, dan menggunakan alat musik Dambus yang terdiri dari tamborin, kempul, dan gong kecil yang menghasilkan irama yang menggembirakan. Musik Dambus memberikan kehidupan dan ritme yang mengiringi gerakan penari dalam menari Kedidi.",Seni Pertunjukan
Tradisi Ma'Awuo Danau Bokuok,"Tradisi Ma'awuo Danau Bokuok adalah tradisi menangkap ikan secara bersama-sama menggunakan jala yang dilakukan oleh masyarakat Adat Kanagarian Tambang di Riau. Tradisi Ma'awuo Danau Bokuok bermula dari larangan mengambil ikan secara pribadi atau kelompok kecil untuk menjaga kelestarian ikan di danau. Larangan ini ditandai dengan pemasangan pucuk enau (bendera) di muara Danau Bokuok. Tradisi Ma'awuo Danau Bokuok berfungsi sebagai sarana kebersamaan dan gotong royong di antara masyarakat. Seluruh anggota masyarakat berkumpul dan bekerja sama untuk menangkap ikan secara bersama-sama. Proses pelaksanaan tradisi Ma'awuo Danau Bokuok, masyarakat menggunakan alat tangkap berupa jala. Pelaksanaan tradisi ini dimulai dengan musyawarah adat untuk menentukan waktu pelaksanaan dan persiapan lainnya. Setelah itu, mereka memasang pucuk enau sebagai tanda larangan menangkap ikan sebelum waktu yang ditentukan. Selama periode tertentu, masyarakat dilarang menangkap ikan dengan alat tangkap apapun, kemudian setelah waktu yang ditentukan, masyarakat diperbolehkan untuk menangkap ikan secara bersama-sama dengan menggunakan jala.",Pengetahuan dan kebiasaan perilaku mengenai alam dan semesta
Upacara Asyeik,"Upacara Asyeik merupakan upacara tradisional yang dilakukan oleh masyarakat Kerinci, sebuah suku Melayu di Kabupaten Kerinci, Provinsi Jambi. Upacara ini memiliki tujuan utama sebagai upaya penyembuhan bagi mereka yang mengalami penyakit yang sulit sembuh meskipun sudah mendapatkan pengobatan medis. Dalam upacara ini, dilakukan gerakan tari, penggunaan simbol-simbol, dan pengucapan mantra sebagai bagian dari ritual penyembuhan. Upacara Asyeik berfungsi sebagai alternatif mencari kesembuhan bagi mereka yang tidak kunjung sembuh dari penyakit. Upacara ini juga mencerminkan hubungan harmonis masyarakat Kerinci dengan alam dan kekuatan supranatural di dalamnya. Proses pelaksanaan Upacara Asyeik, terdapat beberapa perlengkapan yang digunakan di antaranya adalah bungo radang tujuh (tujuh macam bunga yang diikat menjadi satu), merancah limau (jeruk yang diramu), ayam panggang, berbagai jenis nasi (putih, hitam, merah, kuning), telur rebus, lepat tepung beras, dan lepat pulut. Semua perlengkapan tersebut diletakkan dalam sako (sangkar) yang terbuat dari anyaman bambu, dan biasanya terdapat tujuh sako. Jumlah tujuh melambangkan simbolisasi dari tulang rusuk, petalo langit, dan petalo bumi dalam kepercayaan masyarakat Kerinci.",Pengetahuan dan Kebiasaan Perilaku Mengenai Alam dan Semesta
