Adat Taber Kampung,"Adat Taber Kampung merupakan salah satu ritus adat yang masih dipraktikkan secara turun temurun oleh masyarakat Kepulauan Bangka Belitung, terutama di Desa Benteng Kota, Kecamatan Tempilang, Kabupaten Bangka Barat. Ritus ini dilakukan untuk mengusir roh-roh jahat yang dianggap mengganggu masyarakat dan menyebabkan wabah penyakit serta bencana. Ritus Adat Taber Kampung bertujuan untuk memberikan rasa aman dan melindungi masyarakat dari gangguan makhluk halus yang berniat jahat. Selain itu ritus ini berguna dalam memperkuat solidaritas dan kebersamaan di antara masyarakat, karena pelaksanaannya melibatkan partisipasi seluruh komunitas setempat. Ritus Taber Kampung biasanya dilaksanakan pada malam hari setelah maghrib dan dipimpin oleh seorang Pawang atau dukun kampung. Masyarakat Pulau Bangka dan Belitung memiliki kepercayaan yang kuat kepada dukun, yang dianggap memiliki kekuatan supranatural untuk mendatangkan dan mengusir roh dan makhluk halus. Pawang atau dukun membawa mayang pinang dan menaberkan air yang telah dijampi atau dimantrai ke kanan dan kiri jalan saat berjalan dari ujung ke ujung desa berikutnya. Ritus ini dilakukan setelah ritus khusus di balai desa dan melibatkan laki-laki dan perempuan dari berbagai usia.","Adat Istiadat Masyarakat, Ritus, dan Perayaan-Perayaan"
Adu Kerito Surong,"Adu Kerito Surong adalah sebuah olahraga tradisional yang berasal dari Kepulauan Bangka Belitung, terutama di Kabupaten Bangka Tengah. Kerito Surong digunakan sebagai alat pengangkut timah di sekitar tambang Muntok pada masa kolonial Belanda, dan kemudian digunakan oleh masyarakat setempat sebagai alat angkut dalam kegiatan sehari-hari. Adu Kerito Surong telah berkembang di berbagai desa di Pulau Bangka, dengan desa-desa seperti Sungai Selan, Namang, Simpang Katis, Dul, dan desa-desa lainnya. Olahraga tradisional Adu Kerito Surong memiliki fungsi sosial sebagai sarana rekreasi dan hiburan. Olahraga ini juga memperkuat ikatan antaranggota masyarakat, mempromosikan kerjasama tim, dan meningkatkan semangat persaingan sehat. Melalui Adu Kerito Surong, masyarakat dapat saling berinteraksi, membangun kebersamaan, dan mempererat hubungan antargenerasi. Tema utama olahraga ini adalah menjaga tradisi dan warisan budaya daerah, serta memperkuat identitas lokal masyarakat Bangka Belitung. Proses olahraga Adu Kerito Surong melibatkan dua tim yang saling berkompetisi dalam menggerakkan Kerito Surong secara beriringan dan berpacu ke garis finish. Olahraga ini dapat dilakukan oleh laki-laki maupun perempuan dari berbagai kelompok usia, sehingga melibatkan beragam demografi.",Tradisi dan Ekspresi Lisan
Beripat Beregong,"Beripat Beregong adalah sebuah permainan tradisional yang berasal dari Melayu Belitong, Kepulauan Bangka Belitung. Nama permainan ini terdiri dari dua kata, yaitu ""beripat"" yang berarti pukul atau menangkis, dan ""beregong"" yang merujuk pada penggunaan gong sebagai alat musik pengiring. Permainan ini melibatkan dua pemain yang saling memukul dan menangkis dengan menggunakan alat pukul berbahan rotan, sementara gong dimainkan sebagai pengiring musik. Permainan ini sering dilakukan dalam acara adat, seperti pernikahan atau acara maras tahun, dan menjadi bagian dari budaya dan tradisi masyarakat Melayu Belitong. Permainan Beripat Beregong adalah ajang hiburan dan interaksi sosial antara pemain dan penonton. Permainan ini mencerminkan keberanian, ketangkasan, dan kekuatan fisik pemain dalam memukul dan menangkis dengan tepat. Permainan ini menjadi wadah untuk memperkuat ikatan sosial antara generasi muda dengan orang tua, karena permainan ini sering diwariskan secara turun temurun dari generasi sebelumnya. Tema utama permainan ini adalah kebersamaan, kegembiraan, dan semangat persaingan yang sehat. Permainan Beripat Beregong menggunakan alat pukul berbahan rotan yang digunakan oleh pemain untuk memukul dan menangkis. Gong menjadi bagian penting dalam permainan ini sebagai alat musik pengiring dan penanda pelaksanaan permainan. Gong diletakkan di dalam Balai Peregongan, sebuah bangunan kayu beratap daun nanga atau atap rumbia. Permainan ini biasanya dilakukan dalam acara-acara adat yang melibatkan banyak orang atau pada saat ada keramaian seperti acara maras tahun dan acara pernikahan. Permainan ini dapat dimainkan oleh siapa saja, baik laki-laki maupun perempuan, dan merupakan bagian penting dari kebudayaan dan tradisi masyarakat Melayu Belitong di Pulau Belitung.",Tradisi dan Ekspresi Lisan
Debus Indragiri Hulu,"Debus Indragiri Hulu adalah kesenian tradisional berasal dari wilayah yang pernah jadi bagian Kesultanan Indragiri, Melayu Indragiri Hulu. Kesenian debus ini diperkenalkan oleh Syeh Ali Al Idrus, seorang berkebangsaan Arab Hadratul Maut. Pada zaman dahulu, kesenian Debus ini digunakan sebagai sarana penyebaran agama Islam, namun kini sebagai sarana hiburan terutama dalam peristiwa keagamaan dan perayaan tradisional. Tema debus fokus pada keberanian, ketangguhan, sekaligus kepercayaan dan keajaiban Allah SWT kepada umat Islam. Alat khas yang digunakan dalam Debus adalah sebilah besi tajam yang berujung tiga yang disebut debus. Para penari/pemain menusuk debus ke lengan dan perut mereka. Pertunjukan ini menunjukkan keajaiban dan kekuatan iman yang melindungi mereka dari luka serius. Pertunjukan Debus dilakukan secara bergiring-giring dengan kalimat berjanji yang dipimpin oleh seorang Khalifaâ€™. Khalifaâ€™ akan menutup pertunjukan dengan doa-doa.",Seni Pertunjukan
Gasing Kepri,"Gasing Kepri adalah bentuk permainan tradisional, yang merupakan permainan berputar di atas sebuah landasan setelah dipukulkan dengan teknik tertentu. Banyak jenis gasing di Indonesia, tetapi memiliki bentuk dan fungsi yang berbeda sesuai dengan keperluan dalam permainan. Gasing Kepri memiliki fungsi sebagai sarana interaksi dan komunikasi antara pemainnya, karena sering dimainkan dalam acara sosial seperti festival budaya atau permainan Masyarakat. Gasing juga memiliki nilai tradisional untuk mengajarkan keterampilan motorik pemainnya. Gasing sering bersifat kompetitif karena berusaha menunjukkan keahlian dalam memutar dan menghantam gasing lawan. Alat dalam gasing adalah kayu. Dan setiap gasing memiliki tangan tangon yang dibuat dalam beragam bentuk dan ukuran termasuk preferensi pemain di setiap daerah.",Kemahiran dan Kerajinan Tradisional
Kompang Bengkalis,"Kompang merupakan salah satu jenis musik tradisional berasal dari Negeri Arab yang diperkenalkan ke kawasan Melayu pada zaman Kesultanan Melaka, khususnya di Bengkalis, Provinsi Riau, Indonesia sejak tahun 1940-an. Alat musik kompang tergolong dalam kelompok alat musik gendang yang terbuat dari kulit hewan. Dalam pertunjukannya, atraksi kompang dilakukan oleh pemain-pemain terpilih yang berbakat dan terampil, biasanya beberapa orang laki-laki dengan tambahan penabuh jedur. Meskipun dominan dimainkan oleh laki-laki, kaum perempuan dan anak-anak juga dapat melakukannya. Kompang Bengkalis menjadi instrumen musik yang digunakan untuk mengisi acara pertunjukan kesenian pada peringatan hari besar  atau peristiwa penting, acara-acara tradisional seperti tepuk tepung tawar dan mengarak pengantin, dan hiburan pada acara khitanan dan penyambutan tamu penting. Di hari-hari besar Islam kompang menjadi bagian dari perayaan Isra' Mi'raj dan Maulid Nabi. Alat musik kompang Bengkalis terbuat dari kulit kambing betina atau kulit lembu yang dipasangkan di bagian belakang bingkai kayu (baluh). Selain itu, terdapat penegang yang disebut sedak yang diletakkan antara kulit dan bingkai kayu untuk menegangkan permukaan kulit kompang. Pemain kompang memainkan alat musik ini dengan menepuk kulitnya menggunakan bagian jari-jari atau telapak tangan untuk menghasilkan bunyi yang berbeda sesuai dengan pola pukulan. Terdapat 12 jenis pukulan dasar kompang, seperti Mecah, Mabun, Ngendung, dan Tratat 12, yang dapat dikelompokkan menjadi 3 jenis pukulan utama, yaitu Pukulan Kacang Goreng, Pukulan Kentung 3, dan Pukulan Kentung 5. Kompang dimainkan dalam berbagai posisi, seperti duduk, berdiri, atau berjalan, tergantung pada jenis acara dan suasana. Jumlah pemain kompang biasanya 12 hingga 14 orang atau lebih untuk menciptakan paduan suara pukulan yang semarak.",Seni Pertunjukan
Layang-Layang Lingga,"Layang-layang di Kabupaten Lingga, Provinsi Kepulauan Riau, memiliki keunikan tersendiri. Di daerah ini terdapat beberapa jenis layang-layang yang tidak ditemukan di daerah lain, termasuk layang-layang tokong yang memiliki fungsi khusus dalam menangkap binatang tertentu. Permainan layang-layang ini biasanya dilakukan oleh anak laki-laki dan tidak ada batasan umur yang ketat, namun umumnya dimainkan oleh anak usia 5 hingga 12 tahun. Permainan ini sangat tergantung pada cuaca dan angin, dan biasanya dilakukan di tempat terbuka yang luas seperti lapangan sekolah, tepi pantai, atau jalan raya tanpa pepohonan besar. Kerajinan Layang-layang di Kabupaten Lingga menjadi hiburan untuk mengisi waktu luang  masyarakat. Permainan ini dapat mempererat hubungan antar anak-anak dan mengembangkan keterampilan motorik mereka. Masyarakat Lingga menggunakan permainan ini sebagai cara untuk menjaga dan mempromosikan  identitas budaya mereka. Dalam permainan layang-layang, alat dan bahan yang digunakan antara lain bambu atau kayu nibung sebagai kerangka layang-layang, benang untuk mengendalikan dan menerbangkan layangan, pisau, parang, dan gunting untuk memotong dan membentuk bahan, serta kertas minyak atau plastik sebagai bahan penutup. Selain itu, terdapat variasi jenis layang-layang di Kabupaten Lingga, seperti layang-layang dengong, layang-layang bulan/indah, layang-layang tokong, layang-layang bereko, layang-layang berambu, dan lain-lain. Permainan ini dapat dilakukan secara individu atau dalam kelompok, dan biasanya melibatkan laki-laki sebagai pesertanya.",Kemahiran dan Kerajinan Tradisional
Mandi Syafar Kepulauan Riau,"Mandi Syafar adalah sebuah tradisi mandi bersama, berendam atau menyiram seluruh tubuh dengan air yang telah direndam wafak di tempat-tempat yang telah ditentukan, seperti air terjun Resun, Pantai Serim, Pemandian Lubuk Papan, Pasir Panjang Karang Bersulam, Pantai Mempanak Desa Sungai Pinang, dan Desa Sungai Buluh. Tradisi ini berlangsung setiap tahun pada hari Rabu, minggu ke-4 pada bulan Syafar tahun Hijriah. Ritual ini telah dilaksanakan turun temurun sejak zaman Sultan Lingga-Riau yang terakhir, Sultan Abdurrahman Muazamsyah (1883-1911). Dalam ritual ini masyarakat melakukan intropeksi diri jasmani dan rohani, serta memohon ampun dan perlindungan kepada Allah SWT agar terhindar dari musibah dan malapetaka. Mandi Syafar di Kepulauan Riau merupakan sebuah ritus dengan aspek keagamaan dan kebersamaan. Dalam aspek keagamaan, ritual ini menjadi sarana bagi masyarakat untuk melakukan introspeksi diri, memperdalam hubungan dengan Tuhan, serta memohon ampun dan perlindungan dari-Nya. Dalam aspek kebersamaan, mandi Syafar menjadi sarana silaturahmi antar-keluarga dan masyarakat karena melibatkan partisipasi dari seluruh anggota masyarakat. Mandi Syafar juga menjadi momen untuk mengenang sejarah dan kebesaran zaman Sultan Lingga-Riau yang menjadi awal tradisi ini. Persiapan Mandi Syafar dimulai dengan menulis wafaq pada papan segi atau daun macang sebagai alas, mengisi tempayan dengan air dan wafaq yang diberi hiasan anyaman dari pelepah kelapa. Ada gayung yang digunakan untuk menyiram yang akan dimandikan, serta jari lipan yang terbuat dari daun kelapa sebagai aksesoris pada lingkaran tempayan yang mengandung makna pemersatu dan pengikat umat. Ketupat setandan juga digunakan sebagai aksesoris pada tempayan dengan makna bahwa setiap manusia saling mengisi dan berbagi antara satu dengan yang lainnya. Proses pelaksanaan dimulai pada malam sebelum hari Rabu terakhir dengan pembacaan zikir, surat Yasin, dan doa. Pagi harinya, seluruh masyarakat berkumpul di tempat yang telah ditentukan dan dipimpin oleh tokoh agama dalam penyiraman air dari tempayan pada setiap orang yang hadir.","Adat Istiadat Masyarakat, Ritus, dan Perayaan-Perayaan"
"Memarung, Panggung","Memarung adalah proses menetapkan petak-petak lahan untuk berladang atau berume oleh masyarakat Bangka di Kepulauan Bangka Belitung. Fungsi sosial dari Memarung dan Panggung adalah sebagai bagian dari sistem pertanian tradisional masyarakat Bangka yang menjadi sumber utama mata pencaharian dan penghidupan mereka. Memarung dan Panggung juga merupakan upaya pemanfaatan tanah dan hutan secara berkelanjutan, menghindari kerusakan lingkungan, dan menghormati roh dan makhluk halus yang dipercayai sebagai penunggu dan pengatur di berbagai tempat di Pulau Bangka. Proses memarung dimulai dengan memilih lokasi yang tepat untuk berladang atau berume, kemudian menetapkan batas-batas lahan dengan menyusun kayu secara tertentu. Setelah Memarung, masyarakat Bangka akan membangun pondok ume atau panggung dengan tiang-tiang kayu sebagai landasan tempat tinggal mereka selama berada di ladang atau perkebunan. Alat dan bahan yang digunakan dalam Memarung adalah kayu-kayu yang tersedia di sekitar lokasi pertanian. Kegiatan ini melibatkan masyarakat secara keseluruhan, tanpa memandang gender.",Pengetahuan dan Kebiasaan Perilaku Mengenai Alam dan Semesta
Obat Cencang Rebus Lingga,"Obat Cencang Rebus Lingga merupakan obat tradisional yang terbuat dari rempah-rempah dan akar kayu yang diambil dari hutan di Lingga, Kepulauan Riau. Obat Cencang Rebus Lingga berfungsi sebagai menjaga kesehatan dan penyembuhan tradisional, terutama wanita yang baru melahirkan. Selain itu, tradisi ini mencerminkan kearifan lokal dalam pemanfaatan sumber daya alam yang ada di wilayah Lingga, seperti akar kayu dan rempah-rempah.",Pengetahuan dan kebiasaan perilaku mengenai alam dan semesta
